{'sa': 444, 'k': 0.043552655, 'nc': 364, 'it': 0, 'n': 100}
{'sa': 848, 'k': 0.043552655, 'nc': 760, 'it': 0, 'n': 200}
{'sa': 1230, 'k': 0.043552655, 'nc': 1178, 'it': 0, 'n': 300}
{'sa': 1622, 'k': 0.043552655, 'nc': 1586, 'it': 0, 'n': 400}
{'sa': 2036, 'k': 0.043552655, 'nc': 1972, 'it': 0, 'n': 500}
{'sa': 2484, 'k': 0.043552655, 'nc': 2324, 'it': 0, 'n': 600}
{'sa': 2858, 'k': 0.043552655, 'nc': 2750, 'it': 0, 'n': 700}
{'sa': 3256, 'k': 0.043552655, 'nc': 3152, 'it': 0, 'n': 800}
{'sa': 3682, 'k': 0.043552655, 'nc': 3526, 'it': 0, 'n': 900}
{'sa': 4108, 'k': 0.043552655, 'nc': 3900, 'it': 0, 'n': 1000}
{'sa': 4512, 'k': 0.043552655, 'nc': 4296, 'it': 0, 'n': 1100}
{'sa': 4958, 'k': 0.043552655, 'nc': 4650, 'it': 0, 'n': 1200}
{'sa': 5360, 'k': 0.043552655, 'nc': 5048, 'it': 0, 'n': 1300}
{'sa': 5772, 'k': 0.043552655, 'nc': 5436, 'it': 0, 'n': 1400}
{'sa': 6192, 'k': 0.043552655, 'nc': 5816, 'it': 0, 'n': 1500}
{'sa': 6594, 'k': 0.043552655, 'nc': 6214, 'it': 0, 'n': 1600}
{'sa': 7014, 'k': 0.043552655, 'nc': 6594, 'it': 0, 'n': 1700}
{'sa': 7440, 'k': 0.043552655, 'nc': 6968, 'it': 0, 'n': 1800}
{'sa': 7838, 'k': 0.043552655, 'nc': 7370, 'it': 0, 'n': 1900}
{'sa': 8220, 'k': 0.043552655, 'nc': 7788, 'it': 0, 'n': 2000}
{'sa': 8626, 'k': 0.043552655, 'nc': 8182, 'it': 0, 'n': 2100}
{'sa': 9018, 'k': 0.043552655, 'nc': 8590, 'it': 0, 'n': 2200}
{'sa': 9416, 'k': 0.043552655, 'nc': 8992, 'it': 0, 'n': 2300}
{'sa': 9844, 'k': 0.043552655, 'nc': 9364, 'it': 0, 'n': 2400}
{'sa': 10246, 'k': 0.043552655, 'nc': 9762, 'it': 0, 'n': 2500}
{'sa': 10560, 'k': 0.043552655, 'nc': 10248, 'it': 0, 'n': 2600}
{'sa': 10976, 'k': 0.043552655, 'nc': 10632, 'it': 0, 'n': 2700}
{'sa': 11378, 'k': 0.043552655, 'nc': 11030, 'it': 0, 'n': 2800}
{'sa': 11792, 'k': 0.043552655, 'nc': 11416, 'it': 0, 'n': 2900}
{'sa': 12210, 'k': 0.043552655, 'nc': 11798, 'it': 0, 'n': 3000}
{'sa': 12630, 'k': 0.043552655, 'nc': 12178, 'it': 0, 'n': 3100}
{'sa': 13032, 'k': 0.043552655, 'nc': 12576, 'it': 0, 'n': 3200}
{'sa': 13440, 'k': 0.043552655, 'nc': 12968, 'it': 0, 'n': 3300}
{'sa': 13862, 'k': 0.043552655, 'nc': 13346, 'it': 0, 'n': 3400}
{'sa': 14280, 'k': 0.043552655, 'nc': 13728, 'it': 0, 'n': 3500}
{'sa': 14710, 'k': 0.043552655, 'nc': 14098, 'it': 0, 'n': 3600}
{'sa': 15124, 'k': 0.043552655, 'nc': 14484, 'it': 0, 'n': 3700}
{'sa': 15554, 'k': 0.043552655, 'nc': 14854, 'it': 0, 'n': 3800}
{'sa': 16004, 'k': 0.043552655, 'nc': 15204, 'it': 0, 'n': 3900}
{'sa': 16480, 'k': 0.043552655, 'nc': 15528, 'it': 0, 'n': 4000}
{'sa': 16900, 'k': 0.043552655, 'nc': 15908, 'it': 0, 'n': 4100}
{'sa': 17322, 'k': 0.043552655, 'nc': 16286, 'it': 0, 'n': 4200}
{'sa': 17718, 'k': 0.043552655, 'nc': 16690, 'it': 0, 'n': 4300}
{'sa': 18070, 'k': 0.043552655, 'nc': 17138, 'it': 0, 'n': 4400}
{'sa': 18464, 'k': 0.043552655, 'nc': 17544, 'it': 0, 'n': 4500}
{'sa': 18892, 'k': 0.043552655, 'nc': 17916, 'it': 0, 'n': 4600}
{'sa': 19270, 'k': 0.043552655, 'nc': 18338, 'it': 0, 'n': 4700}
{'sa': 19708, 'k': 0.043552655, 'nc': 18700, 'it': 0, 'n': 4800}
{'sa': 20132, 'k': 0.043552655, 'nc': 19076, 'it': 0, 'n': 4900}
{'sa': 20544, 'k': 0.043552655, 'nc': 19464, 'it': 0, 'n': 5000}
{'sa': 20944, 'k': 0.043552655, 'nc': 19864, 'it': 0, 'n': 5100}
{'sa': 21326, 'k': 0.043552655, 'nc': 20282, 'it': 0, 'n': 5200}
{'sa': 21788, 'k': 0.043552655, 'nc': 20620, 'it': 0, 'n': 5300}
{'sa': 22192, 'k': 0.043552655, 'nc': 21016, 'it': 0, 'n': 5400}
{'sa': 22580, 'k': 0.043552655, 'nc': 21428, 'it': 0, 'n': 5500}
{'sa': 22960, 'k': 0.043552655, 'nc': 21848, 'it': 0, 'n': 5600}
{'sa': 23340, 'k': 0.043552655, 'nc': 22268, 'it': 0, 'n': 5700}
{'sa': 23738, 'k': 0.043552655, 'nc': 22670, 'it': 0, 'n': 5800}
{'sa': 24150, 'k': 0.043552655, 'nc': 23058, 'it': 0, 'n': 5900}
{'sa': 24586, 'k': 0.043552655, 'nc': 23422, 'it': 0, 'n': 6000}
{'sa': 24974, 'k': 0.043552655, 'nc': 23834, 'it': 0, 'n': 6100}
{'sa': 25394, 'k': 0.043552655, 'nc': 24214, 'it': 0, 'n': 6200}
{'sa': 25802, 'k': 0.043552655, 'nc': 24606, 'it': 0, 'n': 6300}
{'sa': 26190, 'k': 0.043552655, 'nc': 25018, 'it': 0, 'n': 6400}
{'sa': 26604, 'k': 0.043552655, 'nc': 25404, 'it': 0, 'n': 6500}
{'sa': 26970, 'k': 0.043552655, 'nc': 25838, 'it': 0, 'n': 6600}
{'sa': 27386, 'k': 0.043552655, 'nc': 26222, 'it': 0, 'n': 6700}
{'sa': 27814, 'k': 0.043552655, 'nc': 26594, 'it': 0, 'n': 6800}
{'sa': 28222, 'k': 0.043552655, 'nc': 26986, 'it': 0, 'n': 6900}
{'sa': 28586, 'k': 0.043552655, 'nc': 27422, 'it': 0, 'n': 7000}
{'sa': 29000, 'k': 0.043552655, 'nc': 27808, 'it': 0, 'n': 7100}
{'sa': 29422, 'k': 0.043552655, 'nc': 28186, 'it': 0, 'n': 7200}
{'sa': 29830, 'k': 0.043552655, 'nc': 28578, 'it': 0, 'n': 7300}
{'sa': 30254, 'k': 0.043552655, 'nc': 28954, 'it': 0, 'n': 7400}
{'sa': 30674, 'k': 0.043552655, 'nc': 29334, 'it': 0, 'n': 7500}
{'sa': 31070, 'k': 0.043552655, 'nc': 29738, 'it': 0, 'n': 7600}
{'sa': 31500, 'k': 0.043552655, 'nc': 30108, 'it': 0, 'n': 7700}
{'sa': 31878, 'k': 0.043552655, 'nc': 30530, 'it': 0, 'n': 7800}
{'sa': 32298, 'k': 0.043552655, 'nc': 30910, 'it': 0, 'n': 7900}
{'sa': 32706, 'k': 0.043552655, 'nc': 31302, 'it': 0, 'n': 8000}
{'sa': 33100, 'k': 0.043552655, 'nc': 31708, 'it': 0, 'n': 8100}
{'sa': 33472, 'k': 0.043552655, 'nc': 32136, 'it': 0, 'n': 8200}
{'sa': 33830, 'k': 0.043552655, 'nc': 32578, 'it': 0, 'n': 8300}
{'sa': 34202, 'k': 0.043552655, 'nc': 33006, 'it': 0, 'n': 8400}
{'sa': 34584, 'k': 0.043552655, 'nc': 33424, 'it': 0, 'n': 8500}
{'sa': 35004, 'k': 0.043552655, 'nc': 33804, 'it': 0, 'n': 8600}
{'sa': 35424, 'k': 0.043552655, 'nc': 34184, 'it': 0, 'n': 8700}
{'sa': 35860, 'k': 0.043552655, 'nc': 34548, 'it': 0, 'n': 8800}
{'sa': 36294, 'k': 0.043552655, 'nc': 34914, 'it': 0, 'n': 8900}
{'sa': 36716, 'k': 0.043552655, 'nc': 35292, 'it': 0, 'n': 9000}
{'sa': 37100, 'k': 0.043552655, 'nc': 35708, 'it': 0, 'n': 9100}
{'sa': 37494, 'k': 0.043552655, 'nc': 36114, 'it': 0, 'n': 9200}
{'sa': 37890, 'k': 0.043552655, 'nc': 36518, 'it': 0, 'n': 9300}
{'sa': 38300, 'k': 0.043552655, 'nc': 36908, 'it': 0, 'n': 9400}
{'sa': 38756, 'k': 0.043552655, 'nc': 37252, 'it': 0, 'n': 9500}
{'sa': 39182, 'k': 0.043552655, 'nc': 37626, 'it': 0, 'n': 9600}
{'sa': 39624, 'k': 0.043552655, 'nc': 37984, 'it': 0, 'n': 9700}
{'sa': 39986, 'k': 0.043552655, 'nc': 38422, 'it': 0, 'n': 9800}
{'sa': 40376, 'k': 0.043552655, 'nc': 38832, 'it': 0, 'n': 9900}
{'sa': 40802, 'k': 0.043552655, 'nc': 39206, 'it': 0, 'n': 10000}
{'sa': 41218, 'k': 0.043552655, 'nc': 39590, 'it': 0, 'n': 10100}
{'sa': 41614, 'k': 0.043552655, 'nc': 39994, 'it': 0, 'n': 10200}
{'sa': 42024, 'k': 0.043552655, 'nc': 40384, 'it': 0, 'n': 10300}
{'sa': 42394, 'k': 0.043552655, 'nc': 40814, 'it': 0, 'n': 10400}
{'sa': 42812, 'k': 0.043552655, 'nc': 41196, 'it': 0, 'n': 10500}
{'sa': 43206, 'k': 0.043552655, 'nc': 41602, 'it': 0, 'n': 10600}
{'sa': 43630, 'k': 0.043552655, 'nc': 41978, 'it': 0, 'n': 10700}
{'sa': 44012, 'k': 0.043552655, 'nc': 42396, 'it': 0, 'n': 10800}
{'sa': 44422, 'k': 0.043552655, 'nc': 42786, 'it': 0, 'n': 10900}
{'sa': 44848, 'k': 0.043552655, 'nc': 43160, 'it': 0, 'n': 11000}
{'sa': 45268, 'k': 0.043552655, 'nc': 43540, 'it': 0, 'n': 11100}
{'sa': 45668, 'k': 0.043552655, 'nc': 43940, 'it': 0, 'n': 11200}
{'sa': 46088, 'k': 0.043552655, 'nc': 44320, 'it': 0, 'n': 11300}
{'sa': 46498, 'k': 0.043552655, 'nc': 44710, 'it': 0, 'n': 11400}
{'sa': 46900, 'k': 0.043552655, 'nc': 45108, 'it': 0, 'n': 11500}
{'sa': 47332, 'k': 0.043552655, 'nc': 45476, 'it': 0, 'n': 11600}
{'sa': 47706, 'k': 0.043552655, 'nc': 45902, 'it': 0, 'n': 11700}
{'sa': 48148, 'k': 0.043552655, 'nc': 46260, 'it': 0, 'n': 11800}
{'sa': 48602, 'k': 0.043552655, 'nc': 46606, 'it': 0, 'n': 11900}
