{'sa': 426, 'k': 0.048710555, 'nc': 382, 'it': 0, 'n': 100}
{'sa': 856, 'k': 0.048710555, 'nc': 752, 'it': 0, 'n': 200}
{'sa': 1268, 'k': 0.048710555, 'nc': 1140, 'it': 0, 'n': 300}
{'sa': 1686, 'k': 0.048710555, 'nc': 1522, 'it': 0, 'n': 400}
{'sa': 2096, 'k': 0.048710555, 'nc': 1912, 'it': 0, 'n': 500}
{'sa': 2512, 'k': 0.048710555, 'nc': 2296, 'it': 0, 'n': 600}
{'sa': 2916, 'k': 0.048710555, 'nc': 2692, 'it': 0, 'n': 700}
{'sa': 3316, 'k': 0.048710555, 'nc': 3092, 'it': 0, 'n': 800}
{'sa': 3740, 'k': 0.048710555, 'nc': 3468, 'it': 0, 'n': 900}
{'sa': 4134, 'k': 0.048710555, 'nc': 3874, 'it': 0, 'n': 1000}
{'sa': 4578, 'k': 0.048710555, 'nc': 4230, 'it': 0, 'n': 1100}
{'sa': 5006, 'k': 0.048710555, 'nc': 4602, 'it': 0, 'n': 1200}
{'sa': 5448, 'k': 0.048710555, 'nc': 4960, 'it': 0, 'n': 1300}
{'sa': 5880, 'k': 0.048710555, 'nc': 5328, 'it': 0, 'n': 1400}
{'sa': 6300, 'k': 0.048710555, 'nc': 5708, 'it': 0, 'n': 1500}
{'sa': 6748, 'k': 0.048710555, 'nc': 6060, 'it': 0, 'n': 1600}
{'sa': 7170, 'k': 0.048710555, 'nc': 6438, 'it': 0, 'n': 1700}
{'sa': 7614, 'k': 0.048710555, 'nc': 6794, 'it': 0, 'n': 1800}
{'sa': 7994, 'k': 0.048710555, 'nc': 7214, 'it': 0, 'n': 1900}
{'sa': 8372, 'k': 0.048710555, 'nc': 7636, 'it': 0, 'n': 2000}
{'sa': 8770, 'k': 0.048710555, 'nc': 8038, 'it': 0, 'n': 2100}
{'sa': 9190, 'k': 0.048710555, 'nc': 8418, 'it': 0, 'n': 2200}
{'sa': 9626, 'k': 0.048710555, 'nc': 8782, 'it': 0, 'n': 2300}
{'sa': 10002, 'k': 0.048710555, 'nc': 9206, 'it': 0, 'n': 2400}
{'sa': 10378, 'k': 0.048710555, 'nc': 9630, 'it': 0, 'n': 2500}
{'sa': 10762, 'k': 0.048710555, 'nc': 10046, 'it': 0, 'n': 2600}
