{'sa': 450, 'k': 0.046131605, 'nc': 358, 'it': 0, 'n': 100}
{'sa': 850, 'k': 0.046131605, 'nc': 758, 'it': 0, 'n': 200}
{'sa': 1274, 'k': 0.046131605, 'nc': 1134, 'it': 0, 'n': 300}
{'sa': 1704, 'k': 0.046131605, 'nc': 1504, 'it': 0, 'n': 400}
{'sa': 2096, 'k': 0.046131605, 'nc': 1912, 'it': 0, 'n': 500}
{'sa': 2526, 'k': 0.046131605, 'nc': 2282, 'it': 0, 'n': 600}
{'sa': 2918, 'k': 0.046131605, 'nc': 2690, 'it': 0, 'n': 700}
{'sa': 3300, 'k': 0.046131605, 'nc': 3108, 'it': 0, 'n': 800}
{'sa': 3660, 'k': 0.046131605, 'nc': 3548, 'it': 0, 'n': 900}
{'sa': 4050, 'k': 0.046131605, 'nc': 3958, 'it': 0, 'n': 1000}
{'sa': 4482, 'k': 0.046131605, 'nc': 4326, 'it': 0, 'n': 1100}
{'sa': 4930, 'k': 0.046131605, 'nc': 4678, 'it': 0, 'n': 1200}
{'sa': 5304, 'k': 0.046131605, 'nc': 5104, 'it': 0, 'n': 1300}
{'sa': 5720, 'k': 0.046131605, 'nc': 5488, 'it': 0, 'n': 1400}
{'sa': 6148, 'k': 0.046131605, 'nc': 5860, 'it': 0, 'n': 1500}
{'sa': 6592, 'k': 0.046131605, 'nc': 6216, 'it': 0, 'n': 1600}
{'sa': 7026, 'k': 0.046131605, 'nc': 6582, 'it': 0, 'n': 1700}
{'sa': 7408, 'k': 0.046131605, 'nc': 7000, 'it': 0, 'n': 1800}
{'sa': 7816, 'k': 0.046131605, 'nc': 7392, 'it': 0, 'n': 1900}
{'sa': 8276, 'k': 0.046131605, 'nc': 7732, 'it': 0, 'n': 2000}
{'sa': 8700, 'k': 0.046131605, 'nc': 8108, 'it': 0, 'n': 2100}
{'sa': 9134, 'k': 0.046131605, 'nc': 8474, 'it': 0, 'n': 2200}
{'sa': 9592, 'k': 0.046131605, 'nc': 8816, 'it': 0, 'n': 2300}
{'sa': 9980, 'k': 0.046131605, 'nc': 9228, 'it': 0, 'n': 2400}
{'sa': 10434, 'k': 0.046131605, 'nc': 9574, 'it': 0, 'n': 2500}
{'sa': 10862, 'k': 0.046131605, 'nc': 9946, 'it': 0, 'n': 2600}
{'sa': 11276, 'k': 0.046131605, 'nc': 10332, 'it': 0, 'n': 2700}
{'sa': 11672, 'k': 0.046131605, 'nc': 10736, 'it': 0, 'n': 2800}
{'sa': 12078, 'k': 0.046131605, 'nc': 11130, 'it': 0, 'n': 2900}
{'sa': 12528, 'k': 0.046131605, 'nc': 11480, 'it': 0, 'n': 3000}
{'sa': 12970, 'k': 0.046131605, 'nc': 11838, 'it': 0, 'n': 3100}
{'sa': 13358, 'k': 0.046131605, 'nc': 12250, 'it': 0, 'n': 3200}
{'sa': 13786, 'k': 0.046131605, 'nc': 12622, 'it': 0, 'n': 3300}
{'sa': 14242, 'k': 0.046131605, 'nc': 12966, 'it': 0, 'n': 3400}
{'sa': 14658, 'k': 0.046131605, 'nc': 13350, 'it': 0, 'n': 3500}
{'sa': 15100, 'k': 0.046131605, 'nc': 13708, 'it': 0, 'n': 3600}
{'sa': 15502, 'k': 0.046131605, 'nc': 14106, 'it': 0, 'n': 3700}
{'sa': 15920, 'k': 0.046131605, 'nc': 14488, 'it': 0, 'n': 3800}
{'sa': 16296, 'k': 0.046131605, 'nc': 14912, 'it': 0, 'n': 3900}
{'sa': 16738, 'k': 0.046131605, 'nc': 15270, 'it': 0, 'n': 4000}
{'sa': 17150, 'k': 0.046131605, 'nc': 15658, 'it': 0, 'n': 4100}
{'sa': 17570, 'k': 0.046131605, 'nc': 16038, 'it': 0, 'n': 4200}
{'sa': 17928, 'k': 0.046131605, 'nc': 16480, 'it': 0, 'n': 4300}
{'sa': 18328, 'k': 0.046131605, 'nc': 16880, 'it': 0, 'n': 4400}
{'sa': 18722, 'k': 0.046131605, 'nc': 17286, 'it': 0, 'n': 4500}
{'sa': 19096, 'k': 0.046131605, 'nc': 17712, 'it': 0, 'n': 4600}
{'sa': 19522, 'k': 0.046131605, 'nc': 18086, 'it': 0, 'n': 4700}
{'sa': 19918, 'k': 0.046131605, 'nc': 18490, 'it': 0, 'n': 4800}
