{'sa': 428, 'k': 0.04226318, 'nc': 380, 'it': 0, 'n': 100}
{'sa': 814, 'k': 0.04226318, 'nc': 794, 'it': 0, 'n': 200}
{'sa': 1246, 'k': 0.04226318, 'nc': 1162, 'it': 0, 'n': 300}
{'sa': 1646, 'k': 0.04226318, 'nc': 1562, 'it': 0, 'n': 400}
{'sa': 2066, 'k': 0.04226318, 'nc': 1942, 'it': 0, 'n': 500}
{'sa': 2484, 'k': 0.04226318, 'nc': 2324, 'it': 0, 'n': 600}
{'sa': 2860, 'k': 0.04226318, 'nc': 2748, 'it': 0, 'n': 700}
{'sa': 3280, 'k': 0.04226318, 'nc': 3128, 'it': 0, 'n': 800}
{'sa': 3688, 'k': 0.04226318, 'nc': 3520, 'it': 0, 'n': 900}
{'sa': 4072, 'k': 0.04226318, 'nc': 3936, 'it': 0, 'n': 1000}
{'sa': 4464, 'k': 0.04226318, 'nc': 4344, 'it': 0, 'n': 1100}
{'sa': 4890, 'k': 0.04226318, 'nc': 4718, 'it': 0, 'n': 1200}
{'sa': 5282, 'k': 0.04226318, 'nc': 5126, 'it': 0, 'n': 1300}
{'sa': 5682, 'k': 0.04226318, 'nc': 5526, 'it': 0, 'n': 1400}
{'sa': 6080, 'k': 0.04226318, 'nc': 5928, 'it': 0, 'n': 1500}
{'sa': 6470, 'k': 0.04226318, 'nc': 6338, 'it': 0, 'n': 1600}
{'sa': 6858, 'k': 0.04226318, 'nc': 6750, 'it': 0, 'n': 1700}
{'sa': 7262, 'k': 0.04226318, 'nc': 7146, 'it': 0, 'n': 1800}
{'sa': 7640, 'k': 0.04226318, 'nc': 7568, 'it': 0, 'n': 1900}
{'sa': 8084, 'k': 0.04226318, 'nc': 7924, 'it': 0, 'n': 2000}
{'sa': 8456, 'k': 0.04226318, 'nc': 8352, 'it': 0, 'n': 2100}
{'sa': 8842, 'k': 0.04226318, 'nc': 8766, 'it': 0, 'n': 2200}
{'sa': 9232, 'k': 0.04226318, 'nc': 9176, 'it': 0, 'n': 2300}
{'sa': 9656, 'k': 0.04226318, 'nc': 9552, 'it': 0, 'n': 2400}
{'sa': 10066, 'k': 0.04226318, 'nc': 9942, 'it': 0, 'n': 2500}
{'sa': 10494, 'k': 0.04226318, 'nc': 10314, 'it': 0, 'n': 2600}
{'sa': 10880, 'k': 0.04226318, 'nc': 10728, 'it': 0, 'n': 2700}
{'sa': 11334, 'k': 0.04226318, 'nc': 11074, 'it': 0, 'n': 2800}
{'sa': 11742, 'k': 0.04226318, 'nc': 11466, 'it': 0, 'n': 2900}
{'sa': 12138, 'k': 0.04226318, 'nc': 11870, 'it': 0, 'n': 3000}
{'sa': 12558, 'k': 0.04226318, 'nc': 12250, 'it': 0, 'n': 3100}
{'sa': 13016, 'k': 0.04226318, 'nc': 12592, 'it': 0, 'n': 3200}
{'sa': 13434, 'k': 0.04226318, 'nc': 12974, 'it': 0, 'n': 3300}
{'sa': 13882, 'k': 0.04226318, 'nc': 13326, 'it': 0, 'n': 3400}
{'sa': 14290, 'k': 0.04226318, 'nc': 13718, 'it': 0, 'n': 3500}
{'sa': 14672, 'k': 0.04226318, 'nc': 14136, 'it': 0, 'n': 3600}
{'sa': 15128, 'k': 0.04226318, 'nc': 14480, 'it': 0, 'n': 3700}
{'sa': 15520, 'k': 0.04226318, 'nc': 14888, 'it': 0, 'n': 3800}
{'sa': 15892, 'k': 0.04226318, 'nc': 15316, 'it': 0, 'n': 3900}
{'sa': 16298, 'k': 0.04226318, 'nc': 15710, 'it': 0, 'n': 4000}
{'sa': 16654, 'k': 0.04226318, 'nc': 16154, 'it': 0, 'n': 4100}
{'sa': 17056, 'k': 0.04226318, 'nc': 16552, 'it': 0, 'n': 4200}
{'sa': 17484, 'k': 0.04226318, 'nc': 16924, 'it': 0, 'n': 4300}
{'sa': 17926, 'k': 0.04226318, 'nc': 17282, 'it': 0, 'n': 4400}
{'sa': 18358, 'k': 0.04226318, 'nc': 17650, 'it': 0, 'n': 4500}
{'sa': 18788, 'k': 0.04226318, 'nc': 18020, 'it': 0, 'n': 4600}
{'sa': 19190, 'k': 0.04226318, 'nc': 18418, 'it': 0, 'n': 4700}
{'sa': 19580, 'k': 0.04226318, 'nc': 18828, 'it': 0, 'n': 4800}
{'sa': 20008, 'k': 0.04226318, 'nc': 19200, 'it': 0, 'n': 4900}
{'sa': 20418, 'k': 0.04226318, 'nc': 19590, 'it': 0, 'n': 5000}
{'sa': 20806, 'k': 0.04226318, 'nc': 20002, 'it': 0, 'n': 5100}
{'sa': 21198, 'k': 0.04226318, 'nc': 20410, 'it': 0, 'n': 5200}
{'sa': 21610, 'k': 0.04226318, 'nc': 20798, 'it': 0, 'n': 5300}
{'sa': 22000, 'k': 0.04226318, 'nc': 21208, 'it': 0, 'n': 5400}
{'sa': 22418, 'k': 0.04226318, 'nc': 21590, 'it': 0, 'n': 5500}
{'sa': 22810, 'k': 0.04226318, 'nc': 21998, 'it': 0, 'n': 5600}
{'sa': 23234, 'k': 0.04226318, 'nc': 22374, 'it': 0, 'n': 5700}
{'sa': 23646, 'k': 0.04226318, 'nc': 22762, 'it': 0, 'n': 5800}
{'sa': 24036, 'k': 0.04226318, 'nc': 23172, 'it': 0, 'n': 5900}
{'sa': 24438, 'k': 0.04226318, 'nc': 23570, 'it': 0, 'n': 6000}
{'sa': 24900, 'k': 0.04226318, 'nc': 23908, 'it': 0, 'n': 6100}
{'sa': 25330, 'k': 0.04226318, 'nc': 24278, 'it': 0, 'n': 6200}
{'sa': 25714, 'k': 0.04226318, 'nc': 24694, 'it': 0, 'n': 6300}
{'sa': 26114, 'k': 0.04226318, 'nc': 25094, 'it': 0, 'n': 6400}
{'sa': 26556, 'k': 0.04226318, 'nc': 25452, 'it': 0, 'n': 6500}
{'sa': 26946, 'k': 0.04226318, 'nc': 25862, 'it': 0, 'n': 6600}
{'sa': 27366, 'k': 0.04226318, 'nc': 26242, 'it': 0, 'n': 6700}
{'sa': 27766, 'k': 0.04226318, 'nc': 26642, 'it': 0, 'n': 6800}
{'sa': 28200, 'k': 0.04226318, 'nc': 27008, 'it': 0, 'n': 6900}
{'sa': 28616, 'k': 0.04226318, 'nc': 27392, 'it': 0, 'n': 7000}
{'sa': 29004, 'k': 0.04226318, 'nc': 27804, 'it': 0, 'n': 7100}
{'sa': 29380, 'k': 0.04226318, 'nc': 28228, 'it': 0, 'n': 7200}
{'sa': 29756, 'k': 0.04226318, 'nc': 28652, 'it': 0, 'n': 7300}
{'sa': 30104, 'k': 0.04226318, 'nc': 29104, 'it': 0, 'n': 7400}
{'sa': 30544, 'k': 0.04226318, 'nc': 29464, 'it': 0, 'n': 7500}
{'sa': 30974, 'k': 0.04226318, 'nc': 29834, 'it': 0, 'n': 7600}
{'sa': 31378, 'k': 0.04226318, 'nc': 30230, 'it': 0, 'n': 7700}
{'sa': 31790, 'k': 0.04226318, 'nc': 30618, 'it': 0, 'n': 7800}
{'sa': 32202, 'k': 0.04226318, 'nc': 31006, 'it': 0, 'n': 7900}
{'sa': 32666, 'k': 0.04226318, 'nc': 31342, 'it': 0, 'n': 8000}
{'sa': 33016, 'k': 0.04226318, 'nc': 31792, 'it': 0, 'n': 8100}
{'sa': 33396, 'k': 0.04226318, 'nc': 32212, 'it': 0, 'n': 8200}
{'sa': 33818, 'k': 0.04226318, 'nc': 32590, 'it': 0, 'n': 8300}
{'sa': 34210, 'k': 0.04226318, 'nc': 32998, 'it': 0, 'n': 8400}
{'sa': 34602, 'k': 0.04226318, 'nc': 33406, 'it': 0, 'n': 8500}
{'sa': 35026, 'k': 0.04226318, 'nc': 33782, 'it': 0, 'n': 8600}
{'sa': 35424, 'k': 0.04226318, 'nc': 34184, 'it': 0, 'n': 8700}
{'sa': 35840, 'k': 0.04226318, 'nc': 34568, 'it': 0, 'n': 8800}
{'sa': 36264, 'k': 0.04226318, 'nc': 34944, 'it': 0, 'n': 8900}
{'sa': 36684, 'k': 0.04226318, 'nc': 35324, 'it': 0, 'n': 9000}
{'sa': 37140, 'k': 0.04226318, 'nc': 35668, 'it': 0, 'n': 9100}
{'sa': 37496, 'k': 0.04226318, 'nc': 36112, 'it': 0, 'n': 9200}
{'sa': 37882, 'k': 0.04226318, 'nc': 36526, 'it': 0, 'n': 9300}
{'sa': 38276, 'k': 0.04226318, 'nc': 36932, 'it': 0, 'n': 9400}
{'sa': 38618, 'k': 0.04226318, 'nc': 37390, 'it': 0, 'n': 9500}
{'sa': 38982, 'k': 0.04226318, 'nc': 37826, 'it': 0, 'n': 9600}
{'sa': 39346, 'k': 0.04226318, 'nc': 38262, 'it': 0, 'n': 9700}
{'sa': 39788, 'k': 0.04226318, 'nc': 38620, 'it': 0, 'n': 9800}
{'sa': 40168, 'k': 0.04226318, 'nc': 39040, 'it': 0, 'n': 9900}
{'sa': 40582, 'k': 0.04226318, 'nc': 39426, 'it': 0, 'n': 10000}
{'sa': 40988, 'k': 0.04226318, 'nc': 39820, 'it': 0, 'n': 10100}
{'sa': 41386, 'k': 0.04226318, 'nc': 40222, 'it': 0, 'n': 10200}
{'sa': 41776, 'k': 0.04226318, 'nc': 40632, 'it': 0, 'n': 10300}
{'sa': 42172, 'k': 0.04226318, 'nc': 41036, 'it': 0, 'n': 10400}
{'sa': 42536, 'k': 0.04226318, 'nc': 41472, 'it': 0, 'n': 10500}
{'sa': 42950, 'k': 0.04226318, 'nc': 41858, 'it': 0, 'n': 10600}
{'sa': 43360, 'k': 0.04226318, 'nc': 42248, 'it': 0, 'n': 10700}
{'sa': 43774, 'k': 0.04226318, 'nc': 42634, 'it': 0, 'n': 10800}
{'sa': 44166, 'k': 0.04226318, 'nc': 43042, 'it': 0, 'n': 10900}
