{'sa': 416, 'k': 0.03968423, 'nc': 392, 'it': 0, 'n': 100}
{'sa': 800, 'k': 0.03968423, 'nc': 808, 'it': 0, 'n': 200}
{'sa': 1236, 'k': 0.03968423, 'nc': 1172, 'it': 0, 'n': 300}
{'sa': 1662, 'k': 0.03968423, 'nc': 1546, 'it': 0, 'n': 400}
{'sa': 2100, 'k': 0.03968423, 'nc': 1908, 'it': 0, 'n': 500}
{'sa': 2532, 'k': 0.03968423, 'nc': 2276, 'it': 0, 'n': 600}
{'sa': 2926, 'k': 0.03968423, 'nc': 2682, 'it': 0, 'n': 700}
{'sa': 3316, 'k': 0.03968423, 'nc': 3092, 'it': 0, 'n': 800}
{'sa': 3734, 'k': 0.03968423, 'nc': 3474, 'it': 0, 'n': 900}
{'sa': 4138, 'k': 0.03968423, 'nc': 3870, 'it': 0, 'n': 1000}
{'sa': 4520, 'k': 0.03968423, 'nc': 4288, 'it': 0, 'n': 1100}
{'sa': 4910, 'k': 0.03968423, 'nc': 4698, 'it': 0, 'n': 1200}
{'sa': 5310, 'k': 0.03968423, 'nc': 5098, 'it': 0, 'n': 1300}
{'sa': 5666, 'k': 0.03968423, 'nc': 5542, 'it': 0, 'n': 1400}
{'sa': 6100, 'k': 0.03968423, 'nc': 5908, 'it': 0, 'n': 1500}
{'sa': 6526, 'k': 0.03968423, 'nc': 6282, 'it': 0, 'n': 1600}
{'sa': 6944, 'k': 0.03968423, 'nc': 6664, 'it': 0, 'n': 1700}
{'sa': 7326, 'k': 0.03968423, 'nc': 7082, 'it': 0, 'n': 1800}
{'sa': 7710, 'k': 0.03968423, 'nc': 7498, 'it': 0, 'n': 1900}
{'sa': 8134, 'k': 0.03968423, 'nc': 7874, 'it': 0, 'n': 2000}
{'sa': 8520, 'k': 0.03968423, 'nc': 8288, 'it': 0, 'n': 2100}
{'sa': 8940, 'k': 0.03968423, 'nc': 8668, 'it': 0, 'n': 2200}
{'sa': 9334, 'k': 0.03968423, 'nc': 9074, 'it': 0, 'n': 2300}
{'sa': 9784, 'k': 0.03968423, 'nc': 9424, 'it': 0, 'n': 2400}
{'sa': 10190, 'k': 0.03968423, 'nc': 9818, 'it': 0, 'n': 2500}
{'sa': 10612, 'k': 0.03968423, 'nc': 10196, 'it': 0, 'n': 2600}
{'sa': 11008, 'k': 0.03968423, 'nc': 10600, 'it': 0, 'n': 2700}
{'sa': 11426, 'k': 0.03968423, 'nc': 10982, 'it': 0, 'n': 2800}
{'sa': 11816, 'k': 0.03968423, 'nc': 11392, 'it': 0, 'n': 2900}
{'sa': 12192, 'k': 0.03968423, 'nc': 11816, 'it': 0, 'n': 3000}
{'sa': 12584, 'k': 0.03968423, 'nc': 12224, 'it': 0, 'n': 3100}
{'sa': 13000, 'k': 0.03968423, 'nc': 12608, 'it': 0, 'n': 3200}
{'sa': 13402, 'k': 0.03968423, 'nc': 13006, 'it': 0, 'n': 3300}
{'sa': 13780, 'k': 0.03968423, 'nc': 13428, 'it': 0, 'n': 3400}
{'sa': 14158, 'k': 0.03968423, 'nc': 13850, 'it': 0, 'n': 3500}
{'sa': 14564, 'k': 0.03968423, 'nc': 14244, 'it': 0, 'n': 3600}
{'sa': 14922, 'k': 0.03968423, 'nc': 14686, 'it': 0, 'n': 3700}
{'sa': 15298, 'k': 0.03968423, 'nc': 15110, 'it': 0, 'n': 3800}
{'sa': 15694, 'k': 0.03968423, 'nc': 15514, 'it': 0, 'n': 3900}
{'sa': 16102, 'k': 0.03968423, 'nc': 15906, 'it': 0, 'n': 4000}
{'sa': 16536, 'k': 0.03968423, 'nc': 16272, 'it': 0, 'n': 4100}
{'sa': 16938, 'k': 0.03968423, 'nc': 16670, 'it': 0, 'n': 4200}
{'sa': 17336, 'k': 0.03968423, 'nc': 17072, 'it': 0, 'n': 4300}
{'sa': 17776, 'k': 0.03968423, 'nc': 17432, 'it': 0, 'n': 4400}
{'sa': 18222, 'k': 0.03968423, 'nc': 17786, 'it': 0, 'n': 4500}
{'sa': 18634, 'k': 0.03968423, 'nc': 18174, 'it': 0, 'n': 4600}
{'sa': 19044, 'k': 0.03968423, 'nc': 18564, 'it': 0, 'n': 4700}
