{'sa': 444, 'k': 0.040973705, 'nc': 364, 'it': 0, 'n': 100}
{'sa': 792, 'k': 0.040973705, 'nc': 816, 'it': 0, 'n': 200}
{'sa': 1240, 'k': 0.040973705, 'nc': 1168, 'it': 0, 'n': 300}
{'sa': 1618, 'k': 0.040973705, 'nc': 1590, 'it': 0, 'n': 400}
{'sa': 2030, 'k': 0.040973705, 'nc': 1978, 'it': 0, 'n': 500}
{'sa': 2428, 'k': 0.040973705, 'nc': 2380, 'it': 0, 'n': 600}
{'sa': 2842, 'k': 0.040973705, 'nc': 2766, 'it': 0, 'n': 700}
{'sa': 3224, 'k': 0.040973705, 'nc': 3184, 'it': 0, 'n': 800}
{'sa': 3678, 'k': 0.040973705, 'nc': 3530, 'it': 0, 'n': 900}
{'sa': 4038, 'k': 0.040973705, 'nc': 3970, 'it': 0, 'n': 1000}
{'sa': 4446, 'k': 0.040973705, 'nc': 4362, 'it': 0, 'n': 1100}
{'sa': 4920, 'k': 0.040973705, 'nc': 4688, 'it': 0, 'n': 1200}
{'sa': 5304, 'k': 0.040973705, 'nc': 5104, 'it': 0, 'n': 1300}
{'sa': 5710, 'k': 0.040973705, 'nc': 5498, 'it': 0, 'n': 1400}
{'sa': 6100, 'k': 0.040973705, 'nc': 5908, 'it': 0, 'n': 1500}
{'sa': 6492, 'k': 0.040973705, 'nc': 6316, 'it': 0, 'n': 1600}
{'sa': 6924, 'k': 0.040973705, 'nc': 6684, 'it': 0, 'n': 1700}
{'sa': 7330, 'k': 0.040973705, 'nc': 7078, 'it': 0, 'n': 1800}
{'sa': 7678, 'k': 0.040973705, 'nc': 7530, 'it': 0, 'n': 1900}
{'sa': 8012, 'k': 0.040973705, 'nc': 7996, 'it': 0, 'n': 2000}
{'sa': 8418, 'k': 0.040973705, 'nc': 8390, 'it': 0, 'n': 2100}
{'sa': 8844, 'k': 0.040973705, 'nc': 8764, 'it': 0, 'n': 2200}
{'sa': 9274, 'k': 0.040973705, 'nc': 9134, 'it': 0, 'n': 2300}
{'sa': 9614, 'k': 0.040973705, 'nc': 9594, 'it': 0, 'n': 2400}
{'sa': 9972, 'k': 0.040973705, 'nc': 10036, 'it': 0, 'n': 2500}
{'sa': 10380, 'k': 0.040973705, 'nc': 10428, 'it': 0, 'n': 2600}
{'sa': 10816, 'k': 0.040973705, 'nc': 10792, 'it': 0, 'n': 2700}
{'sa': 11264, 'k': 0.040973705, 'nc': 11144, 'it': 0, 'n': 2800}
{'sa': 11696, 'k': 0.040973705, 'nc': 11512, 'it': 0, 'n': 2900}
{'sa': 12120, 'k': 0.040973705, 'nc': 11888, 'it': 0, 'n': 3000}
