{'sa': 442, 'k': 0.05, 'nc': 366, 'it': 0, 'n': 100}
{'sa': 844, 'k': 0.05, 'nc': 764, 'it': 0, 'n': 200}
{'sa': 1208, 'k': 0.05, 'nc': 1200, 'it': 0, 'n': 300}
{'sa': 1588, 'k': 0.05, 'nc': 1620, 'it': 0, 'n': 400}
{'sa': 2004, 'k': 0.05, 'nc': 2004, 'it': 0, 'n': 500}
{'sa': 2372, 'k': 0.05, 'nc': 2436, 'it': 0, 'n': 600}
{'sa': 2750, 'k': 0.05, 'nc': 2858, 'it': 0, 'n': 700}
{'sa': 3154, 'k': 0.05, 'nc': 3254, 'it': 0, 'n': 800}
{'sa': 3582, 'k': 0.05, 'nc': 3626, 'it': 0, 'n': 900}
{'sa': 3982, 'k': 0.05, 'nc': 4026, 'it': 0, 'n': 1000}
{'sa': 4398, 'k': 0.05, 'nc': 4410, 'it': 0, 'n': 1100}
{'sa': 4846, 'k': 0.05, 'nc': 4762, 'it': 0, 'n': 1200}
{'sa': 5254, 'k': 0.05, 'nc': 5154, 'it': 0, 'n': 1300}
{'sa': 5682, 'k': 0.05, 'nc': 5526, 'it': 0, 'n': 1400}
{'sa': 6076, 'k': 0.05, 'nc': 5932, 'it': 0, 'n': 1500}
{'sa': 6532, 'k': 0.05, 'nc': 6276, 'it': 0, 'n': 1600}
{'sa': 6940, 'k': 0.05, 'nc': 6668, 'it': 0, 'n': 1700}
{'sa': 7360, 'k': 0.05, 'nc': 7048, 'it': 0, 'n': 1800}
{'sa': 7786, 'k': 0.05, 'nc': 7422, 'it': 0, 'n': 1900}
{'sa': 8178, 'k': 0.05, 'nc': 7830, 'it': 0, 'n': 2000}
{'sa': 8638, 'k': 0.05, 'nc': 8170, 'it': 0, 'n': 2100}
{'sa': 9032, 'k': 0.05, 'nc': 8576, 'it': 0, 'n': 2200}
{'sa': 9462, 'k': 0.05, 'nc': 8946, 'it': 0, 'n': 2300}
{'sa': 9898, 'k': 0.05, 'nc': 9310, 'it': 0, 'n': 2400}
{'sa': 10292, 'k': 0.05, 'nc': 9716, 'it': 0, 'n': 2500}
{'sa': 10708, 'k': 0.05, 'nc': 10100, 'it': 0, 'n': 2600}
{'sa': 11104, 'k': 0.05, 'nc': 10504, 'it': 0, 'n': 2700}
{'sa': 11534, 'k': 0.05, 'nc': 10874, 'it': 0, 'n': 2800}
{'sa': 11942, 'k': 0.05, 'nc': 11266, 'it': 0, 'n': 2900}
{'sa': 12336, 'k': 0.05, 'nc': 11672, 'it': 0, 'n': 3000}
{'sa': 12750, 'k': 0.05, 'nc': 12058, 'it': 0, 'n': 3100}
{'sa': 13188, 'k': 0.05, 'nc': 12420, 'it': 0, 'n': 3200}
{'sa': 13610, 'k': 0.05, 'nc': 12798, 'it': 0, 'n': 3300}
{'sa': 13980, 'k': 0.05, 'nc': 13228, 'it': 0, 'n': 3400}
{'sa': 14412, 'k': 0.05, 'nc': 13596, 'it': 0, 'n': 3500}
{'sa': 14834, 'k': 0.05, 'nc': 13974, 'it': 0, 'n': 3600}
{'sa': 15278, 'k': 0.05, 'nc': 14330, 'it': 0, 'n': 3700}
{'sa': 15688, 'k': 0.05, 'nc': 14720, 'it': 0, 'n': 3800}
{'sa': 16118, 'k': 0.05, 'nc': 15090, 'it': 0, 'n': 3900}
{'sa': 16564, 'k': 0.05, 'nc': 15444, 'it': 0, 'n': 4000}
{'sa': 16980, 'k': 0.05, 'nc': 15828, 'it': 0, 'n': 4100}
{'sa': 17410, 'k': 0.05, 'nc': 16198, 'it': 0, 'n': 4200}
{'sa': 17854, 'k': 0.05, 'nc': 16554, 'it': 0, 'n': 4300}
{'sa': 18328, 'k': 0.05, 'nc': 16880, 'it': 0, 'n': 4400}
{'sa': 18780, 'k': 0.05, 'nc': 17228, 'it': 0, 'n': 4500}
{'sa': 19242, 'k': 0.05, 'nc': 17566, 'it': 0, 'n': 4600}
{'sa': 19648, 'k': 0.05, 'nc': 17960, 'it': 0, 'n': 4700}
{'sa': 20034, 'k': 0.05, 'nc': 18374, 'it': 0, 'n': 4800}
{'sa': 20474, 'k': 0.05, 'nc': 18734, 'it': 0, 'n': 4900}
{'sa': 20898, 'k': 0.05, 'nc': 19110, 'it': 0, 'n': 5000}
{'sa': 21308, 'k': 0.05, 'nc': 19500, 'it': 0, 'n': 5100}
{'sa': 21718, 'k': 0.05, 'nc': 19890, 'it': 0, 'n': 5200}
{'sa': 22156, 'k': 0.05, 'nc': 20252, 'it': 0, 'n': 5300}
{'sa': 22580, 'k': 0.05, 'nc': 20628, 'it': 0, 'n': 5400}
{'sa': 23006, 'k': 0.05, 'nc': 21002, 'it': 0, 'n': 5500}
{'sa': 23380, 'k': 0.05, 'nc': 21428, 'it': 0, 'n': 5600}
{'sa': 23770, 'k': 0.05, 'nc': 21838, 'it': 0, 'n': 5700}
{'sa': 24200, 'k': 0.05, 'nc': 22208, 'it': 0, 'n': 5800}
{'sa': 24632, 'k': 0.05, 'nc': 22576, 'it': 0, 'n': 5900}
{'sa': 25012, 'k': 0.05, 'nc': 22996, 'it': 0, 'n': 6000}
{'sa': 25432, 'k': 0.05, 'nc': 23376, 'it': 0, 'n': 6100}
{'sa': 25822, 'k': 0.05, 'nc': 23786, 'it': 0, 'n': 6200}
{'sa': 26230, 'k': 0.05, 'nc': 24178, 'it': 0, 'n': 6300}
{'sa': 26664, 'k': 0.05, 'nc': 24544, 'it': 0, 'n': 6400}
{'sa': 27082, 'k': 0.05, 'nc': 24926, 'it': 0, 'n': 6500}
{'sa': 27498, 'k': 0.05, 'nc': 25310, 'it': 0, 'n': 6600}
{'sa': 27958, 'k': 0.05, 'nc': 25650, 'it': 0, 'n': 6700}
{'sa': 28384, 'k': 0.05, 'nc': 26024, 'it': 0, 'n': 6800}
{'sa': 28818, 'k': 0.05, 'nc': 26390, 'it': 0, 'n': 6900}
{'sa': 29256, 'k': 0.05, 'nc': 26752, 'it': 0, 'n': 7000}
{'sa': 29698, 'k': 0.05, 'nc': 27110, 'it': 0, 'n': 7100}
{'sa': 30122, 'k': 0.05, 'nc': 27486, 'it': 0, 'n': 7200}
{'sa': 30554, 'k': 0.05, 'nc': 27854, 'it': 0, 'n': 7300}
{'sa': 30986, 'k': 0.05, 'nc': 28222, 'it': 0, 'n': 7400}
{'sa': 31400, 'k': 0.05, 'nc': 28608, 'it': 0, 'n': 7500}
{'sa': 31810, 'k': 0.05, 'nc': 28998, 'it': 0, 'n': 7600}
{'sa': 32180, 'k': 0.05, 'nc': 29428, 'it': 0, 'n': 7700}
{'sa': 32614, 'k': 0.05, 'nc': 29794, 'it': 0, 'n': 7800}
{'sa': 33002, 'k': 0.05, 'nc': 30206, 'it': 0, 'n': 7900}
{'sa': 33468, 'k': 0.05, 'nc': 30540, 'it': 0, 'n': 8000}
{'sa': 33902, 'k': 0.05, 'nc': 30906, 'it': 0, 'n': 8100}
{'sa': 34326, 'k': 0.05, 'nc': 31282, 'it': 0, 'n': 8200}
{'sa': 34744, 'k': 0.05, 'nc': 31664, 'it': 0, 'n': 8300}
{'sa': 35106, 'k': 0.05, 'nc': 32102, 'it': 0, 'n': 8400}
{'sa': 35510, 'k': 0.05, 'nc': 32498, 'it': 0, 'n': 8500}
{'sa': 35936, 'k': 0.05, 'nc': 32872, 'it': 0, 'n': 8600}
{'sa': 36352, 'k': 0.05, 'nc': 33256, 'it': 0, 'n': 8700}
{'sa': 36772, 'k': 0.05, 'nc': 33636, 'it': 0, 'n': 8800}
