{'sa': 444, 'k': 0.04226318, 'nc': 364, 'it': 0, 'n': 100}
{'sa': 874, 'k': 0.04226318, 'nc': 734, 'it': 0, 'n': 200}
{'sa': 1258, 'k': 0.04226318, 'nc': 1150, 'it': 0, 'n': 300}
{'sa': 1702, 'k': 0.04226318, 'nc': 1506, 'it': 0, 'n': 400}
{'sa': 2118, 'k': 0.04226318, 'nc': 1890, 'it': 0, 'n': 500}
{'sa': 2510, 'k': 0.04226318, 'nc': 2298, 'it': 0, 'n': 600}
{'sa': 2892, 'k': 0.04226318, 'nc': 2716, 'it': 0, 'n': 700}
{'sa': 3342, 'k': 0.04226318, 'nc': 3066, 'it': 0, 'n': 800}
{'sa': 3748, 'k': 0.04226318, 'nc': 3460, 'it': 0, 'n': 900}
{'sa': 4138, 'k': 0.04226318, 'nc': 3870, 'it': 0, 'n': 1000}
{'sa': 4522, 'k': 0.04226318, 'nc': 4286, 'it': 0, 'n': 1100}
{'sa': 4884, 'k': 0.04226318, 'nc': 4724, 'it': 0, 'n': 1200}
{'sa': 5286, 'k': 0.04226318, 'nc': 5122, 'it': 0, 'n': 1300}
{'sa': 5686, 'k': 0.04226318, 'nc': 5522, 'it': 0, 'n': 1400}
{'sa': 6100, 'k': 0.04226318, 'nc': 5908, 'it': 0, 'n': 1500}
{'sa': 6514, 'k': 0.04226318, 'nc': 6294, 'it': 0, 'n': 1600}
{'sa': 6896, 'k': 0.04226318, 'nc': 6712, 'it': 0, 'n': 1700}
{'sa': 7294, 'k': 0.04226318, 'nc': 7114, 'it': 0, 'n': 1800}
{'sa': 7682, 'k': 0.04226318, 'nc': 7526, 'it': 0, 'n': 1900}
{'sa': 8104, 'k': 0.04226318, 'nc': 7904, 'it': 0, 'n': 2000}
{'sa': 8468, 'k': 0.04226318, 'nc': 8340, 'it': 0, 'n': 2100}
{'sa': 8856, 'k': 0.04226318, 'nc': 8752, 'it': 0, 'n': 2200}
{'sa': 9240, 'k': 0.04226318, 'nc': 9168, 'it': 0, 'n': 2300}
{'sa': 9614, 'k': 0.04226318, 'nc': 9594, 'it': 0, 'n': 2400}
{'sa': 10042, 'k': 0.04226318, 'nc': 9966, 'it': 0, 'n': 2500}
{'sa': 10480, 'k': 0.04226318, 'nc': 10328, 'it': 0, 'n': 2600}
{'sa': 10878, 'k': 0.04226318, 'nc': 10730, 'it': 0, 'n': 2700}
{'sa': 11268, 'k': 0.04226318, 'nc': 11140, 'it': 0, 'n': 2800}
{'sa': 11708, 'k': 0.04226318, 'nc': 11500, 'it': 0, 'n': 2900}
{'sa': 12110, 'k': 0.04226318, 'nc': 11898, 'it': 0, 'n': 3000}
{'sa': 12524, 'k': 0.04226318, 'nc': 12284, 'it': 0, 'n': 3100}
{'sa': 12906, 'k': 0.04226318, 'nc': 12702, 'it': 0, 'n': 3200}
{'sa': 13320, 'k': 0.04226318, 'nc': 13088, 'it': 0, 'n': 3300}
{'sa': 13716, 'k': 0.04226318, 'nc': 13492, 'it': 0, 'n': 3400}
{'sa': 14168, 'k': 0.04226318, 'nc': 13840, 'it': 0, 'n': 3500}
{'sa': 14550, 'k': 0.04226318, 'nc': 14258, 'it': 0, 'n': 3600}
{'sa': 14918, 'k': 0.04226318, 'nc': 14690, 'it': 0, 'n': 3700}
{'sa': 15320, 'k': 0.04226318, 'nc': 15088, 'it': 0, 'n': 3800}
{'sa': 15730, 'k': 0.04226318, 'nc': 15478, 'it': 0, 'n': 3900}
{'sa': 16138, 'k': 0.04226318, 'nc': 15870, 'it': 0, 'n': 4000}
{'sa': 16510, 'k': 0.04226318, 'nc': 16298, 'it': 0, 'n': 4100}
{'sa': 16932, 'k': 0.04226318, 'nc': 16676, 'it': 0, 'n': 4200}
{'sa': 17314, 'k': 0.04226318, 'nc': 17094, 'it': 0, 'n': 4300}
{'sa': 17726, 'k': 0.04226318, 'nc': 17482, 'it': 0, 'n': 4400}
{'sa': 18158, 'k': 0.04226318, 'nc': 17850, 'it': 0, 'n': 4500}
{'sa': 18524, 'k': 0.04226318, 'nc': 18284, 'it': 0, 'n': 4600}
{'sa': 18892, 'k': 0.04226318, 'nc': 18716, 'it': 0, 'n': 4700}
{'sa': 19288, 'k': 0.04226318, 'nc': 19120, 'it': 0, 'n': 4800}
{'sa': 19698, 'k': 0.04226318, 'nc': 19510, 'it': 0, 'n': 4900}
{'sa': 20120, 'k': 0.04226318, 'nc': 19888, 'it': 0, 'n': 5000}
{'sa': 20508, 'k': 0.04226318, 'nc': 20300, 'it': 0, 'n': 5100}
{'sa': 20880, 'k': 0.04226318, 'nc': 20728, 'it': 0, 'n': 5200}
{'sa': 21308, 'k': 0.04226318, 'nc': 21100, 'it': 0, 'n': 5300}
{'sa': 21712, 'k': 0.04226318, 'nc': 21496, 'it': 0, 'n': 5400}
{'sa': 22106, 'k': 0.04226318, 'nc': 21902, 'it': 0, 'n': 5500}
{'sa': 22502, 'k': 0.04226318, 'nc': 22306, 'it': 0, 'n': 5600}
{'sa': 22922, 'k': 0.04226318, 'nc': 22686, 'it': 0, 'n': 5700}
{'sa': 23310, 'k': 0.04226318, 'nc': 23098, 'it': 0, 'n': 5800}
{'sa': 23724, 'k': 0.04226318, 'nc': 23484, 'it': 0, 'n': 5900}
{'sa': 24086, 'k': 0.04226318, 'nc': 23922, 'it': 0, 'n': 6000}
{'sa': 24502, 'k': 0.04226318, 'nc': 24306, 'it': 0, 'n': 6100}
{'sa': 24890, 'k': 0.04226318, 'nc': 24718, 'it': 0, 'n': 6200}
{'sa': 25288, 'k': 0.04226318, 'nc': 25120, 'it': 0, 'n': 6300}
{'sa': 25664, 'k': 0.04226318, 'nc': 25544, 'it': 0, 'n': 6400}
{'sa': 26090, 'k': 0.04226318, 'nc': 25918, 'it': 0, 'n': 6500}
{'sa': 26510, 'k': 0.04226318, 'nc': 26298, 'it': 0, 'n': 6600}
{'sa': 26956, 'k': 0.04226318, 'nc': 26652, 'it': 0, 'n': 6700}
{'sa': 27334, 'k': 0.04226318, 'nc': 27074, 'it': 0, 'n': 6800}
{'sa': 27704, 'k': 0.04226318, 'nc': 27504, 'it': 0, 'n': 6900}
{'sa': 28070, 'k': 0.04226318, 'nc': 27938, 'it': 0, 'n': 7000}
{'sa': 28476, 'k': 0.04226318, 'nc': 28332, 'it': 0, 'n': 7100}
{'sa': 28890, 'k': 0.04226318, 'nc': 28718, 'it': 0, 'n': 7200}
{'sa': 29262, 'k': 0.04226318, 'nc': 29146, 'it': 0, 'n': 7300}
{'sa': 29650, 'k': 0.04226318, 'nc': 29558, 'it': 0, 'n': 7400}
{'sa': 30058, 'k': 0.04226318, 'nc': 29950, 'it': 0, 'n': 7500}
{'sa': 30436, 'k': 0.04226318, 'nc': 30372, 'it': 0, 'n': 7600}
{'sa': 30816, 'k': 0.04226318, 'nc': 30792, 'it': 0, 'n': 7700}
{'sa': 31208, 'k': 0.04226318, 'nc': 31200, 'it': 0, 'n': 7800}
{'sa': 31620, 'k': 0.04226318, 'nc': 31588, 'it': 0, 'n': 7900}
{'sa': 31996, 'k': 0.04226318, 'nc': 32012, 'it': 0, 'n': 8000}
{'sa': 32378, 'k': 0.04226318, 'nc': 32430, 'it': 0, 'n': 8100}
{'sa': 32746, 'k': 0.04226318, 'nc': 32862, 'it': 0, 'n': 8200}
{'sa': 33174, 'k': 0.04226318, 'nc': 33234, 'it': 0, 'n': 8300}
{'sa': 33604, 'k': 0.04226318, 'nc': 33604, 'it': 0, 'n': 8400}
{'sa': 34038, 'k': 0.04226318, 'nc': 33970, 'it': 0, 'n': 8500}
{'sa': 34466, 'k': 0.04226318, 'nc': 34342, 'it': 0, 'n': 8600}
{'sa': 34874, 'k': 0.04226318, 'nc': 34734, 'it': 0, 'n': 8700}
