{'sa': 440, 'k': 0.038394755, 'nc': 368, 'it': 0, 'n': 100}
{'sa': 892, 'k': 0.038394755, 'nc': 716, 'it': 0, 'n': 200}
{'sa': 1320, 'k': 0.038394755, 'nc': 1088, 'it': 0, 'n': 300}
{'sa': 1704, 'k': 0.038394755, 'nc': 1504, 'it': 0, 'n': 400}
{'sa': 2138, 'k': 0.038394755, 'nc': 1870, 'it': 0, 'n': 500}
{'sa': 2464, 'k': 0.038394755, 'nc': 2344, 'it': 0, 'n': 600}
{'sa': 2872, 'k': 0.038394755, 'nc': 2736, 'it': 0, 'n': 700}
{'sa': 3248, 'k': 0.038394755, 'nc': 3160, 'it': 0, 'n': 800}
{'sa': 3632, 'k': 0.038394755, 'nc': 3576, 'it': 0, 'n': 900}
{'sa': 4048, 'k': 0.038394755, 'nc': 3960, 'it': 0, 'n': 1000}
{'sa': 4452, 'k': 0.038394755, 'nc': 4356, 'it': 0, 'n': 1100}
{'sa': 4852, 'k': 0.038394755, 'nc': 4756, 'it': 0, 'n': 1200}
{'sa': 5232, 'k': 0.038394755, 'nc': 5176, 'it': 0, 'n': 1300}
{'sa': 5600, 'k': 0.038394755, 'nc': 5608, 'it': 0, 'n': 1400}
{'sa': 5972, 'k': 0.038394755, 'nc': 6036, 'it': 0, 'n': 1500}
{'sa': 6368, 'k': 0.038394755, 'nc': 6440, 'it': 0, 'n': 1600}
{'sa': 6760, 'k': 0.038394755, 'nc': 6848, 'it': 0, 'n': 1700}
{'sa': 7140, 'k': 0.038394755, 'nc': 7268, 'it': 0, 'n': 1800}
{'sa': 7514, 'k': 0.038394755, 'nc': 7694, 'it': 0, 'n': 1900}
{'sa': 7926, 'k': 0.038394755, 'nc': 8082, 'it': 0, 'n': 2000}
{'sa': 8360, 'k': 0.038394755, 'nc': 8448, 'it': 0, 'n': 2100}
{'sa': 8760, 'k': 0.038394755, 'nc': 8848, 'it': 0, 'n': 2200}
{'sa': 9144, 'k': 0.038394755, 'nc': 9264, 'it': 0, 'n': 2300}
{'sa': 9554, 'k': 0.038394755, 'nc': 9654, 'it': 0, 'n': 2400}
{'sa': 9986, 'k': 0.038394755, 'nc': 10022, 'it': 0, 'n': 2500}
{'sa': 10384, 'k': 0.038394755, 'nc': 10424, 'it': 0, 'n': 2600}
{'sa': 10820, 'k': 0.038394755, 'nc': 10788, 'it': 0, 'n': 2700}
{'sa': 11236, 'k': 0.038394755, 'nc': 11172, 'it': 0, 'n': 2800}
{'sa': 11626, 'k': 0.038394755, 'nc': 11582, 'it': 0, 'n': 2900}
{'sa': 12032, 'k': 0.038394755, 'nc': 11976, 'it': 0, 'n': 3000}
{'sa': 12464, 'k': 0.038394755, 'nc': 12344, 'it': 0, 'n': 3100}
{'sa': 12816, 'k': 0.038394755, 'nc': 12792, 'it': 0, 'n': 3200}
{'sa': 13230, 'k': 0.038394755, 'nc': 13178, 'it': 0, 'n': 3300}
{'sa': 13646, 'k': 0.038394755, 'nc': 13562, 'it': 0, 'n': 3400}
{'sa': 14054, 'k': 0.038394755, 'nc': 13954, 'it': 0, 'n': 3500}
{'sa': 14450, 'k': 0.038394755, 'nc': 14358, 'it': 0, 'n': 3600}
{'sa': 14844, 'k': 0.038394755, 'nc': 14764, 'it': 0, 'n': 3700}
{'sa': 15304, 'k': 0.038394755, 'nc': 15104, 'it': 0, 'n': 3800}
{'sa': 15702, 'k': 0.038394755, 'nc': 15506, 'it': 0, 'n': 3900}
{'sa': 16158, 'k': 0.038394755, 'nc': 15850, 'it': 0, 'n': 4000}
{'sa': 16584, 'k': 0.038394755, 'nc': 16224, 'it': 0, 'n': 4100}
{'sa': 16974, 'k': 0.038394755, 'nc': 16634, 'it': 0, 'n': 4200}
{'sa': 17366, 'k': 0.038394755, 'nc': 17042, 'it': 0, 'n': 4300}
{'sa': 17764, 'k': 0.038394755, 'nc': 17444, 'it': 0, 'n': 4400}
{'sa': 18134, 'k': 0.038394755, 'nc': 17874, 'it': 0, 'n': 4500}
{'sa': 18538, 'k': 0.038394755, 'nc': 18270, 'it': 0, 'n': 4600}
{'sa': 18970, 'k': 0.038394755, 'nc': 18638, 'it': 0, 'n': 4700}
{'sa': 19424, 'k': 0.038394755, 'nc': 18984, 'it': 0, 'n': 4800}
{'sa': 19848, 'k': 0.038394755, 'nc': 19360, 'it': 0, 'n': 4900}
{'sa': 20244, 'k': 0.038394755, 'nc': 19764, 'it': 0, 'n': 5000}
{'sa': 20672, 'k': 0.038394755, 'nc': 20136, 'it': 0, 'n': 5100}
{'sa': 21092, 'k': 0.038394755, 'nc': 20516, 'it': 0, 'n': 5200}
{'sa': 21530, 'k': 0.038394755, 'nc': 20878, 'it': 0, 'n': 5300}
{'sa': 21928, 'k': 0.038394755, 'nc': 21280, 'it': 0, 'n': 5400}
{'sa': 22340, 'k': 0.038394755, 'nc': 21668, 'it': 0, 'n': 5500}
{'sa': 22740, 'k': 0.038394755, 'nc': 22068, 'it': 0, 'n': 5600}
{'sa': 23126, 'k': 0.038394755, 'nc': 22482, 'it': 0, 'n': 5700}
{'sa': 23518, 'k': 0.038394755, 'nc': 22890, 'it': 0, 'n': 5800}
{'sa': 23908, 'k': 0.038394755, 'nc': 23300, 'it': 0, 'n': 5900}
{'sa': 24294, 'k': 0.038394755, 'nc': 23714, 'it': 0, 'n': 6000}
{'sa': 24672, 'k': 0.038394755, 'nc': 24136, 'it': 0, 'n': 6100}
{'sa': 25096, 'k': 0.038394755, 'nc': 24512, 'it': 0, 'n': 6200}
{'sa': 25500, 'k': 0.038394755, 'nc': 24908, 'it': 0, 'n': 6300}
{'sa': 25922, 'k': 0.038394755, 'nc': 25286, 'it': 0, 'n': 6400}
{'sa': 26304, 'k': 0.038394755, 'nc': 25704, 'it': 0, 'n': 6500}
{'sa': 26744, 'k': 0.038394755, 'nc': 26064, 'it': 0, 'n': 6600}
{'sa': 27140, 'k': 0.038394755, 'nc': 26468, 'it': 0, 'n': 6700}
{'sa': 27532, 'k': 0.038394755, 'nc': 26876, 'it': 0, 'n': 6800}
{'sa': 27964, 'k': 0.038394755, 'nc': 27244, 'it': 0, 'n': 6900}
{'sa': 28416, 'k': 0.038394755, 'nc': 27592, 'it': 0, 'n': 7000}
{'sa': 28828, 'k': 0.038394755, 'nc': 27980, 'it': 0, 'n': 7100}
{'sa': 29266, 'k': 0.038394755, 'nc': 28342, 'it': 0, 'n': 7200}
{'sa': 29676, 'k': 0.038394755, 'nc': 28732, 'it': 0, 'n': 7300}
{'sa': 30084, 'k': 0.038394755, 'nc': 29124, 'it': 0, 'n': 7400}
{'sa': 30466, 'k': 0.038394755, 'nc': 29542, 'it': 0, 'n': 7500}
{'sa': 30824, 'k': 0.038394755, 'nc': 29984, 'it': 0, 'n': 7600}
{'sa': 31214, 'k': 0.038394755, 'nc': 30394, 'it': 0, 'n': 7700}
{'sa': 31654, 'k': 0.038394755, 'nc': 30754, 'it': 0, 'n': 7800}
{'sa': 32070, 'k': 0.038394755, 'nc': 31138, 'it': 0, 'n': 7900}
{'sa': 32496, 'k': 0.038394755, 'nc': 31512, 'it': 0, 'n': 8000}
{'sa': 32838, 'k': 0.038394755, 'nc': 31970, 'it': 0, 'n': 8100}
{'sa': 33222, 'k': 0.038394755, 'nc': 32386, 'it': 0, 'n': 8200}
{'sa': 33636, 'k': 0.038394755, 'nc': 32772, 'it': 0, 'n': 8300}
{'sa': 34040, 'k': 0.038394755, 'nc': 33168, 'it': 0, 'n': 8400}
{'sa': 34392, 'k': 0.038394755, 'nc': 33616, 'it': 0, 'n': 8500}
{'sa': 34782, 'k': 0.038394755, 'nc': 34026, 'it': 0, 'n': 8600}
{'sa': 35184, 'k': 0.038394755, 'nc': 34424, 'it': 0, 'n': 8700}
{'sa': 35594, 'k': 0.038394755, 'nc': 34814, 'it': 0, 'n': 8800}
{'sa': 36004, 'k': 0.038394755, 'nc': 35204, 'it': 0, 'n': 8900}
{'sa': 36426, 'k': 0.038394755, 'nc': 35582, 'it': 0, 'n': 9000}
{'sa': 36834, 'k': 0.038394755, 'nc': 35974, 'it': 0, 'n': 9100}
{'sa': 37214, 'k': 0.038394755, 'nc': 36394, 'it': 0, 'n': 9200}
{'sa': 37642, 'k': 0.038394755, 'nc': 36766, 'it': 0, 'n': 9300}
{'sa': 38084, 'k': 0.038394755, 'nc': 37124, 'it': 0, 'n': 9400}
{'sa': 38514, 'k': 0.038394755, 'nc': 37494, 'it': 0, 'n': 9500}
{'sa': 38926, 'k': 0.038394755, 'nc': 37882, 'it': 0, 'n': 9600}
{'sa': 39308, 'k': 0.038394755, 'nc': 38300, 'it': 0, 'n': 9700}
{'sa': 39714, 'k': 0.038394755, 'nc': 38694, 'it': 0, 'n': 9800}
{'sa': 40074, 'k': 0.038394755, 'nc': 39134, 'it': 0, 'n': 9900}
{'sa': 40488, 'k': 0.038394755, 'nc': 39520, 'it': 0, 'n': 10000}
{'sa': 40892, 'k': 0.038394755, 'nc': 39916, 'it': 0, 'n': 10100}
{'sa': 41284, 'k': 0.038394755, 'nc': 40324, 'it': 0, 'n': 10200}
{'sa': 41742, 'k': 0.038394755, 'nc': 40666, 'it': 0, 'n': 10300}
{'sa': 42194, 'k': 0.038394755, 'nc': 41014, 'it': 0, 'n': 10400}
{'sa': 42622, 'k': 0.038394755, 'nc': 41386, 'it': 0, 'n': 10500}
{'sa': 43060, 'k': 0.038394755, 'nc': 41748, 'it': 0, 'n': 10600}
{'sa': 43480, 'k': 0.038394755, 'nc': 42128, 'it': 0, 'n': 10700}
{'sa': 43854, 'k': 0.038394755, 'nc': 42554, 'it': 0, 'n': 10800}
{'sa': 44278, 'k': 0.038394755, 'nc': 42930, 'it': 0, 'n': 10900}
{'sa': 44658, 'k': 0.038394755, 'nc': 43350, 'it': 0, 'n': 11000}
{'sa': 45042, 'k': 0.038394755, 'nc': 43766, 'it': 0, 'n': 11100}
{'sa': 45418, 'k': 0.038394755, 'nc': 44190, 'it': 0, 'n': 11200}
{'sa': 45828, 'k': 0.038394755, 'nc': 44580, 'it': 0, 'n': 11300}
{'sa': 46188, 'k': 0.038394755, 'nc': 45020, 'it': 0, 'n': 11400}
{'sa': 46586, 'k': 0.038394755, 'nc': 45422, 'it': 0, 'n': 11500}
{'sa': 46964, 'k': 0.038394755, 'nc': 45844, 'it': 0, 'n': 11600}
{'sa': 47384, 'k': 0.038394755, 'nc': 46224, 'it': 0, 'n': 11700}
{'sa': 47760, 'k': 0.038394755, 'nc': 46648, 'it': 0, 'n': 11800}
{'sa': 48178, 'k': 0.038394755, 'nc': 47030, 'it': 0, 'n': 11900}
{'sa': 48600, 'k': 0.038394755, 'nc': 47408, 'it': 0, 'n': 12000}
{'sa': 48994, 'k': 0.038394755, 'nc': 47814, 'it': 0, 'n': 12100}
{'sa': 49388, 'k': 0.038394755, 'nc': 48220, 'it': 0, 'n': 12200}
{'sa': 49790, 'k': 0.038394755, 'nc': 48618, 'it': 0, 'n': 12300}
{'sa': 50208, 'k': 0.038394755, 'nc': 49000, 'it': 0, 'n': 12400}
{'sa': 50612, 'k': 0.038394755, 'nc': 49396, 'it': 0, 'n': 12500}
{'sa': 51030, 'k': 0.038394755, 'nc': 49778, 'it': 0, 'n': 12600}
{'sa': 51424, 'k': 0.038394755, 'nc': 50184, 'it': 0, 'n': 12700}
{'sa': 51826, 'k': 0.038394755, 'nc': 50582, 'it': 0, 'n': 12800}
{'sa': 52218, 'k': 0.038394755, 'nc': 50990, 'it': 0, 'n': 12900}
{'sa': 52626, 'k': 0.038394755, 'nc': 51382, 'it': 0, 'n': 13000}
{'sa': 53050, 'k': 0.038394755, 'nc': 51758, 'it': 0, 'n': 13100}
{'sa': 53440, 'k': 0.038394755, 'nc': 52168, 'it': 0, 'n': 13200}
{'sa': 53830, 'k': 0.038394755, 'nc': 52578, 'it': 0, 'n': 13300}
{'sa': 54232, 'k': 0.038394755, 'nc': 52976, 'it': 0, 'n': 13400}
{'sa': 54612, 'k': 0.038394755, 'nc': 53396, 'it': 0, 'n': 13500}
{'sa': 55036, 'k': 0.038394755, 'nc': 53772, 'it': 0, 'n': 13600}
{'sa': 55478, 'k': 0.038394755, 'nc': 54130, 'it': 0, 'n': 13700}
{'sa': 55844, 'k': 0.038394755, 'nc': 54564, 'it': 0, 'n': 13800}
{'sa': 56246, 'k': 0.038394755, 'nc': 54962, 'it': 0, 'n': 13900}
{'sa': 56626, 'k': 0.038394755, 'nc': 55382, 'it': 0, 'n': 14000}
{'sa': 57050, 'k': 0.038394755, 'nc': 55758, 'it': 0, 'n': 14100}
{'sa': 57444, 'k': 0.038394755, 'nc': 56164, 'it': 0, 'n': 14200}
{'sa': 57834, 'k': 0.038394755, 'nc': 56574, 'it': 0, 'n': 14300}
{'sa': 58262, 'k': 0.038394755, 'nc': 56946, 'it': 0, 'n': 14400}
{'sa': 58642, 'k': 0.038394755, 'nc': 57366, 'it': 0, 'n': 14500}
{'sa': 59060, 'k': 0.038394755, 'nc': 57748, 'it': 0, 'n': 14600}
{'sa': 59476, 'k': 0.038394755, 'nc': 58132, 'it': 0, 'n': 14700}
{'sa': 59856, 'k': 0.038394755, 'nc': 58552, 'it': 0, 'n': 14800}
{'sa': 60278, 'k': 0.038394755, 'nc': 58930, 'it': 0, 'n': 14900}
{'sa': 60622, 'k': 0.038394755, 'nc': 59386, 'it': 0, 'n': 15000}
{'sa': 60970, 'k': 0.038394755, 'nc': 59838, 'it': 0, 'n': 15100}
{'sa': 61330, 'k': 0.038394755, 'nc': 60278, 'it': 0, 'n': 15200}
{'sa': 61698, 'k': 0.038394755, 'nc': 60710, 'it': 0, 'n': 15300}
{'sa': 62086, 'k': 0.038394755, 'nc': 61122, 'it': 0, 'n': 15400}
{'sa': 62468, 'k': 0.038394755, 'nc': 61540, 'it': 0, 'n': 15500}
{'sa': 62868, 'k': 0.038394755, 'nc': 61940, 'it': 0, 'n': 15600}
{'sa': 63300, 'k': 0.038394755, 'nc': 62308, 'it': 0, 'n': 15700}
{'sa': 63712, 'k': 0.038394755, 'nc': 62696, 'it': 0, 'n': 15800}
{'sa': 64142, 'k': 0.038394755, 'nc': 63066, 'it': 0, 'n': 15900}
{'sa': 64536, 'k': 0.038394755, 'nc': 63472, 'it': 0, 'n': 16000}
{'sa': 64972, 'k': 0.038394755, 'nc': 63836, 'it': 0, 'n': 16100}
{'sa': 65396, 'k': 0.038394755, 'nc': 64212, 'it': 0, 'n': 16200}
{'sa': 65798, 'k': 0.038394755, 'nc': 64610, 'it': 0, 'n': 16300}
{'sa': 66182, 'k': 0.038394755, 'nc': 65026, 'it': 0, 'n': 16400}
{'sa': 66578, 'k': 0.038394755, 'nc': 65430, 'it': 0, 'n': 16500}
{'sa': 66996, 'k': 0.038394755, 'nc': 65812, 'it': 0, 'n': 16600}
{'sa': 67424, 'k': 0.038394755, 'nc': 66184, 'it': 0, 'n': 16700}
{'sa': 67818, 'k': 0.038394755, 'nc': 66590, 'it': 0, 'n': 16800}
{'sa': 68206, 'k': 0.038394755, 'nc': 67002, 'it': 0, 'n': 16900}
{'sa': 68630, 'k': 0.038394755, 'nc': 67378, 'it': 0, 'n': 17000}
{'sa': 69030, 'k': 0.038394755, 'nc': 67778, 'it': 0, 'n': 17100}
{'sa': 69412, 'k': 0.038394755, 'nc': 68196, 'it': 0, 'n': 17200}
{'sa': 69836, 'k': 0.038394755, 'nc': 68572, 'it': 0, 'n': 17300}
{'sa': 70250, 'k': 0.038394755, 'nc': 68958, 'it': 0, 'n': 17400}
{'sa': 70574, 'k': 0.038394755, 'nc': 69434, 'it': 0, 'n': 17500}
{'sa': 70950, 'k': 0.038394755, 'nc': 69858, 'it': 0, 'n': 17600}
{'sa': 71384, 'k': 0.038394755, 'nc': 70224, 'it': 0, 'n': 17700}
{'sa': 71794, 'k': 0.038394755, 'nc': 70614, 'it': 0, 'n': 17800}
{'sa': 72178, 'k': 0.038394755, 'nc': 71030, 'it': 0, 'n': 17900}
{'sa': 72564, 'k': 0.038394755, 'nc': 71444, 'it': 0, 'n': 18000}
{'sa': 72960, 'k': 0.038394755, 'nc': 71848, 'it': 0, 'n': 18100}
{'sa': 73332, 'k': 0.038394755, 'nc': 72276, 'it': 0, 'n': 18200}
{'sa': 73702, 'k': 0.038394755, 'nc': 72706, 'it': 0, 'n': 18300}
{'sa': 74118, 'k': 0.038394755, 'nc': 73090, 'it': 0, 'n': 18400}
{'sa': 74528, 'k': 0.038394755, 'nc': 73480, 'it': 0, 'n': 18500}
{'sa': 74888, 'k': 0.038394755, 'nc': 73920, 'it': 0, 'n': 18600}
{'sa': 75262, 'k': 0.038394755, 'nc': 74346, 'it': 0, 'n': 18700}
{'sa': 75660, 'k': 0.038394755, 'nc': 74748, 'it': 0, 'n': 18800}
{'sa': 76054, 'k': 0.038394755, 'nc': 75154, 'it': 0, 'n': 18900}
{'sa': 76452, 'k': 0.038394755, 'nc': 75556, 'it': 0, 'n': 19000}
