{'sa': 456, 'k': 0.03710528, 'nc': 352, 'it': 0, 'n': 100}
{'sa': 886, 'k': 0.03710528, 'nc': 722, 'it': 0, 'n': 200}
{'sa': 1284, 'k': 0.03710528, 'nc': 1124, 'it': 0, 'n': 300}
{'sa': 1672, 'k': 0.03710528, 'nc': 1536, 'it': 0, 'n': 400}
{'sa': 2094, 'k': 0.03710528, 'nc': 1914, 'it': 0, 'n': 500}
{'sa': 2482, 'k': 0.03710528, 'nc': 2326, 'it': 0, 'n': 600}
{'sa': 2916, 'k': 0.03710528, 'nc': 2692, 'it': 0, 'n': 700}
{'sa': 3310, 'k': 0.03710528, 'nc': 3098, 'it': 0, 'n': 800}
{'sa': 3730, 'k': 0.03710528, 'nc': 3478, 'it': 0, 'n': 900}
{'sa': 4144, 'k': 0.03710528, 'nc': 3864, 'it': 0, 'n': 1000}
{'sa': 4486, 'k': 0.03710528, 'nc': 4322, 'it': 0, 'n': 1100}
{'sa': 4838, 'k': 0.03710528, 'nc': 4770, 'it': 0, 'n': 1200}
{'sa': 5228, 'k': 0.03710528, 'nc': 5180, 'it': 0, 'n': 1300}
{'sa': 5636, 'k': 0.03710528, 'nc': 5572, 'it': 0, 'n': 1400}
{'sa': 6028, 'k': 0.03710528, 'nc': 5980, 'it': 0, 'n': 1500}
{'sa': 6438, 'k': 0.03710528, 'nc': 6370, 'it': 0, 'n': 1600}
{'sa': 6858, 'k': 0.03710528, 'nc': 6750, 'it': 0, 'n': 1700}
{'sa': 7250, 'k': 0.03710528, 'nc': 7158, 'it': 0, 'n': 1800}
{'sa': 7666, 'k': 0.03710528, 'nc': 7542, 'it': 0, 'n': 1900}
{'sa': 8070, 'k': 0.03710528, 'nc': 7938, 'it': 0, 'n': 2000}
{'sa': 8488, 'k': 0.03710528, 'nc': 8320, 'it': 0, 'n': 2100}
{'sa': 8906, 'k': 0.03710528, 'nc': 8702, 'it': 0, 'n': 2200}
{'sa': 9292, 'k': 0.03710528, 'nc': 9116, 'it': 0, 'n': 2300}
{'sa': 9714, 'k': 0.03710528, 'nc': 9494, 'it': 0, 'n': 2400}
{'sa': 10140, 'k': 0.03710528, 'nc': 9868, 'it': 0, 'n': 2500}
{'sa': 10534, 'k': 0.03710528, 'nc': 10274, 'it': 0, 'n': 2600}
{'sa': 10948, 'k': 0.03710528, 'nc': 10660, 'it': 0, 'n': 2700}
{'sa': 11352, 'k': 0.03710528, 'nc': 11056, 'it': 0, 'n': 2800}
{'sa': 11776, 'k': 0.03710528, 'nc': 11432, 'it': 0, 'n': 2900}
{'sa': 12186, 'k': 0.03710528, 'nc': 11822, 'it': 0, 'n': 3000}
