{'sa': 440, 'k': 0.007447375, 'nc': 368, 'it': 0, 'n': 100}
{'sa': 826, 'k': 0.007447375, 'nc': 782, 'it': 0, 'n': 200}
{'sa': 1166, 'k': 0.007447375, 'nc': 1242, 'it': 0, 'n': 300}
{'sa': 1506, 'k': 0.007447375, 'nc': 1702, 'it': 0, 'n': 400}
{'sa': 1842, 'k': 0.007447375, 'nc': 2166, 'it': 0, 'n': 500}
{'sa': 2176, 'k': 0.007447375, 'nc': 2632, 'it': 0, 'n': 600}
{'sa': 2526, 'k': 0.007447375, 'nc': 3082, 'it': 0, 'n': 700}
{'sa': 2876, 'k': 0.007447375, 'nc': 3532, 'it': 0, 'n': 800}
{'sa': 3170, 'k': 0.007447375, 'nc': 4038, 'it': 0, 'n': 900}
{'sa': 3500, 'k': 0.007447375, 'nc': 4508, 'it': 0, 'n': 1000}
{'sa': 3808, 'k': 0.007447375, 'nc': 5000, 'it': 0, 'n': 1100}
{'sa': 4116, 'k': 0.007447375, 'nc': 5492, 'it': 0, 'n': 1200}
{'sa': 4426, 'k': 0.007447375, 'nc': 5982, 'it': 0, 'n': 1300}
{'sa': 4736, 'k': 0.007447375, 'nc': 6472, 'it': 0, 'n': 1400}
{'sa': 5044, 'k': 0.007447375, 'nc': 6964, 'it': 0, 'n': 1500}
{'sa': 5360, 'k': 0.007447375, 'nc': 7448, 'it': 0, 'n': 1600}
{'sa': 5606, 'k': 0.007447375, 'nc': 8002, 'it': 0, 'n': 1700}
{'sa': 5900, 'k': 0.007447375, 'nc': 8508, 'it': 0, 'n': 1800}
{'sa': 6252, 'k': 0.007447375, 'nc': 8956, 'it': 0, 'n': 1900}
{'sa': 6612, 'k': 0.007447375, 'nc': 9396, 'it': 0, 'n': 2000}
{'sa': 6982, 'k': 0.007447375, 'nc': 9826, 'it': 0, 'n': 2100}
{'sa': 7328, 'k': 0.007447375, 'nc': 10280, 'it': 0, 'n': 2200}
{'sa': 7662, 'k': 0.007447375, 'nc': 10746, 'it': 0, 'n': 2300}
{'sa': 7984, 'k': 0.007447375, 'nc': 11224, 'it': 0, 'n': 2400}
{'sa': 8296, 'k': 0.007447375, 'nc': 11712, 'it': 0, 'n': 2500}
{'sa': 8630, 'k': 0.007447375, 'nc': 12178, 'it': 0, 'n': 2600}
{'sa': 8942, 'k': 0.007447375, 'nc': 12666, 'it': 0, 'n': 2700}
{'sa': 9314, 'k': 0.007447375, 'nc': 13094, 'it': 0, 'n': 2800}
{'sa': 9608, 'k': 0.007447375, 'nc': 13600, 'it': 0, 'n': 2900}
{'sa': 9958, 'k': 0.007447375, 'nc': 14050, 'it': 0, 'n': 3000}
{'sa': 10276, 'k': 0.007447375, 'nc': 14532, 'it': 0, 'n': 3100}
{'sa': 10556, 'k': 0.007447375, 'nc': 15052, 'it': 0, 'n': 3200}
{'sa': 10834, 'k': 0.007447375, 'nc': 15574, 'it': 0, 'n': 3300}
{'sa': 11128, 'k': 0.007447375, 'nc': 16080, 'it': 0, 'n': 3400}
{'sa': 11478, 'k': 0.007447375, 'nc': 16530, 'it': 0, 'n': 3500}
{'sa': 11782, 'k': 0.007447375, 'nc': 17026, 'it': 0, 'n': 3600}
{'sa': 12092, 'k': 0.007447375, 'nc': 17516, 'it': 0, 'n': 3700}
{'sa': 12444, 'k': 0.007447375, 'nc': 17964, 'it': 0, 'n': 3800}
{'sa': 12742, 'k': 0.007447375, 'nc': 18466, 'it': 0, 'n': 3900}
{'sa': 13094, 'k': 0.007447375, 'nc': 18914, 'it': 0, 'n': 4000}
{'sa': 13416, 'k': 0.007447375, 'nc': 19392, 'it': 0, 'n': 4100}
{'sa': 13788, 'k': 0.007447375, 'nc': 19820, 'it': 0, 'n': 4200}
{'sa': 14092, 'k': 0.007447375, 'nc': 20316, 'it': 0, 'n': 4300}
{'sa': 14390, 'k': 0.007447375, 'nc': 20818, 'it': 0, 'n': 4400}
{'sa': 14684, 'k': 0.007447375, 'nc': 21324, 'it': 0, 'n': 4500}
{'sa': 15018, 'k': 0.007447375, 'nc': 21790, 'it': 0, 'n': 4600}
{'sa': 15342, 'k': 0.007447375, 'nc': 22266, 'it': 0, 'n': 4700}
{'sa': 15658, 'k': 0.007447375, 'nc': 22750, 'it': 0, 'n': 4800}
{'sa': 15984, 'k': 0.007447375, 'nc': 23224, 'it': 0, 'n': 4900}
{'sa': 16310, 'k': 0.007447375, 'nc': 23698, 'it': 0, 'n': 5000}
{'sa': 16618, 'k': 0.007447375, 'nc': 24190, 'it': 0, 'n': 5100}
{'sa': 16900, 'k': 0.007447375, 'nc': 24708, 'it': 0, 'n': 5200}
{'sa': 17230, 'k': 0.007447375, 'nc': 25178, 'it': 0, 'n': 5300}
{'sa': 17546, 'k': 0.007447375, 'nc': 25662, 'it': 0, 'n': 5400}
{'sa': 17840, 'k': 0.007447375, 'nc': 26168, 'it': 0, 'n': 5500}
{'sa': 18146, 'k': 0.007447375, 'nc': 26662, 'it': 0, 'n': 5600}
{'sa': 18446, 'k': 0.007447375, 'nc': 27162, 'it': 0, 'n': 5700}
{'sa': 18774, 'k': 0.007447375, 'nc': 27634, 'it': 0, 'n': 5800}
{'sa': 19086, 'k': 0.007447375, 'nc': 28122, 'it': 0, 'n': 5900}
{'sa': 19418, 'k': 0.007447375, 'nc': 28590, 'it': 0, 'n': 6000}
{'sa': 19738, 'k': 0.007447375, 'nc': 29070, 'it': 0, 'n': 6100}
{'sa': 20064, 'k': 0.007447375, 'nc': 29544, 'it': 0, 'n': 6200}
{'sa': 20342, 'k': 0.007447375, 'nc': 30066, 'it': 0, 'n': 6300}
{'sa': 20608, 'k': 0.007447375, 'nc': 30600, 'it': 0, 'n': 6400}
{'sa': 20968, 'k': 0.007447375, 'nc': 31040, 'it': 0, 'n': 6500}
{'sa': 21246, 'k': 0.007447375, 'nc': 31562, 'it': 0, 'n': 6600}
{'sa': 21608, 'k': 0.007447375, 'nc': 32000, 'it': 0, 'n': 6700}
{'sa': 21942, 'k': 0.007447375, 'nc': 32466, 'it': 0, 'n': 6800}
{'sa': 22306, 'k': 0.007447375, 'nc': 32902, 'it': 0, 'n': 6900}
{'sa': 22624, 'k': 0.007447375, 'nc': 33384, 'it': 0, 'n': 7000}
{'sa': 22954, 'k': 0.007447375, 'nc': 33854, 'it': 0, 'n': 7100}
{'sa': 23290, 'k': 0.007447375, 'nc': 34318, 'it': 0, 'n': 7200}
{'sa': 23566, 'k': 0.007447375, 'nc': 34842, 'it': 0, 'n': 7300}
{'sa': 23894, 'k': 0.007447375, 'nc': 35314, 'it': 0, 'n': 7400}
{'sa': 24174, 'k': 0.007447375, 'nc': 35834, 'it': 0, 'n': 7500}
{'sa': 24494, 'k': 0.007447375, 'nc': 36314, 'it': 0, 'n': 7600}
{'sa': 24734, 'k': 0.007447375, 'nc': 36874, 'it': 0, 'n': 7700}
