{'sa': 426, 'k': 0.0164737, 'nc': 382, 'it': 0, 'n': 100}
{'sa': 792, 'k': 0.0164737, 'nc': 816, 'it': 0, 'n': 200}
{'sa': 1104, 'k': 0.0164737, 'nc': 1304, 'it': 0, 'n': 300}
{'sa': 1502, 'k': 0.0164737, 'nc': 1706, 'it': 0, 'n': 400}
{'sa': 1878, 'k': 0.0164737, 'nc': 2130, 'it': 0, 'n': 500}
{'sa': 2242, 'k': 0.0164737, 'nc': 2566, 'it': 0, 'n': 600}
{'sa': 2572, 'k': 0.0164737, 'nc': 3036, 'it': 0, 'n': 700}
{'sa': 2906, 'k': 0.0164737, 'nc': 3502, 'it': 0, 'n': 800}
{'sa': 3280, 'k': 0.0164737, 'nc': 3928, 'it': 0, 'n': 900}
{'sa': 3582, 'k': 0.0164737, 'nc': 4426, 'it': 0, 'n': 1000}
{'sa': 3948, 'k': 0.0164737, 'nc': 4860, 'it': 0, 'n': 1100}
{'sa': 4288, 'k': 0.0164737, 'nc': 5320, 'it': 0, 'n': 1200}
{'sa': 4644, 'k': 0.0164737, 'nc': 5764, 'it': 0, 'n': 1300}
{'sa': 4970, 'k': 0.0164737, 'nc': 6238, 'it': 0, 'n': 1400}
{'sa': 5318, 'k': 0.0164737, 'nc': 6690, 'it': 0, 'n': 1500}
{'sa': 5638, 'k': 0.0164737, 'nc': 7170, 'it': 0, 'n': 1600}
{'sa': 6008, 'k': 0.0164737, 'nc': 7600, 'it': 0, 'n': 1700}
{'sa': 6352, 'k': 0.0164737, 'nc': 8056, 'it': 0, 'n': 1800}
{'sa': 6734, 'k': 0.0164737, 'nc': 8474, 'it': 0, 'n': 1900}
{'sa': 7082, 'k': 0.0164737, 'nc': 8926, 'it': 0, 'n': 2000}
{'sa': 7442, 'k': 0.0164737, 'nc': 9366, 'it': 0, 'n': 2100}
{'sa': 7828, 'k': 0.0164737, 'nc': 9780, 'it': 0, 'n': 2200}
{'sa': 8200, 'k': 0.0164737, 'nc': 10208, 'it': 0, 'n': 2300}
{'sa': 8560, 'k': 0.0164737, 'nc': 10648, 'it': 0, 'n': 2400}
