{'sa': 440, 'k': 0.00357895, 'nc': 368, 'it': 0, 'n': 100}
{'sa': 788, 'k': 0.00357895, 'nc': 820, 'it': 0, 'n': 200}
{'sa': 1046, 'k': 0.00357895, 'nc': 1362, 'it': 0, 'n': 300}
{'sa': 1356, 'k': 0.00357895, 'nc': 1852, 'it': 0, 'n': 400}
{'sa': 1708, 'k': 0.00357895, 'nc': 2300, 'it': 0, 'n': 500}
{'sa': 2014, 'k': 0.00357895, 'nc': 2794, 'it': 0, 'n': 600}
{'sa': 2322, 'k': 0.00357895, 'nc': 3286, 'it': 0, 'n': 700}
{'sa': 2622, 'k': 0.00357895, 'nc': 3786, 'it': 0, 'n': 800}
{'sa': 2940, 'k': 0.00357895, 'nc': 4268, 'it': 0, 'n': 900}
{'sa': 3238, 'k': 0.00357895, 'nc': 4770, 'it': 0, 'n': 1000}
{'sa': 3574, 'k': 0.00357895, 'nc': 5234, 'it': 0, 'n': 1100}
{'sa': 3890, 'k': 0.00357895, 'nc': 5718, 'it': 0, 'n': 1200}
{'sa': 4256, 'k': 0.00357895, 'nc': 6152, 'it': 0, 'n': 1300}
{'sa': 4582, 'k': 0.00357895, 'nc': 6626, 'it': 0, 'n': 1400}
{'sa': 4926, 'k': 0.00357895, 'nc': 7082, 'it': 0, 'n': 1500}
{'sa': 5214, 'k': 0.00357895, 'nc': 7594, 'it': 0, 'n': 1600}
{'sa': 5488, 'k': 0.00357895, 'nc': 8120, 'it': 0, 'n': 1700}
{'sa': 5764, 'k': 0.00357895, 'nc': 8644, 'it': 0, 'n': 1800}
{'sa': 6066, 'k': 0.00357895, 'nc': 9142, 'it': 0, 'n': 1900}
{'sa': 6408, 'k': 0.00357895, 'nc': 9600, 'it': 0, 'n': 2000}
{'sa': 6688, 'k': 0.00357895, 'nc': 10120, 'it': 0, 'n': 2100}
{'sa': 6994, 'k': 0.00357895, 'nc': 10614, 'it': 0, 'n': 2200}
{'sa': 7284, 'k': 0.00357895, 'nc': 11124, 'it': 0, 'n': 2300}
{'sa': 7606, 'k': 0.00357895, 'nc': 11602, 'it': 0, 'n': 2400}
{'sa': 7856, 'k': 0.00357895, 'nc': 12152, 'it': 0, 'n': 2500}
{'sa': 8168, 'k': 0.00357895, 'nc': 12640, 'it': 0, 'n': 2600}
{'sa': 8514, 'k': 0.00357895, 'nc': 13094, 'it': 0, 'n': 2700}
{'sa': 8870, 'k': 0.00357895, 'nc': 13538, 'it': 0, 'n': 2800}
{'sa': 9162, 'k': 0.00357895, 'nc': 14046, 'it': 0, 'n': 2900}
{'sa': 9468, 'k': 0.00357895, 'nc': 14540, 'it': 0, 'n': 3000}
{'sa': 9748, 'k': 0.00357895, 'nc': 15060, 'it': 0, 'n': 3100}
{'sa': 10014, 'k': 0.00357895, 'nc': 15594, 'it': 0, 'n': 3200}
{'sa': 10298, 'k': 0.00357895, 'nc': 16110, 'it': 0, 'n': 3300}
{'sa': 10534, 'k': 0.00357895, 'nc': 16674, 'it': 0, 'n': 3400}
{'sa': 10862, 'k': 0.00357895, 'nc': 17146, 'it': 0, 'n': 3500}
{'sa': 11114, 'k': 0.00357895, 'nc': 17694, 'it': 0, 'n': 3600}
{'sa': 11394, 'k': 0.00357895, 'nc': 18214, 'it': 0, 'n': 3700}
{'sa': 11668, 'k': 0.00357895, 'nc': 18740, 'it': 0, 'n': 3800}
{'sa': 11986, 'k': 0.00357895, 'nc': 19222, 'it': 0, 'n': 3900}
{'sa': 12292, 'k': 0.00357895, 'nc': 19716, 'it': 0, 'n': 4000}
{'sa': 12604, 'k': 0.00357895, 'nc': 20204, 'it': 0, 'n': 4100}
{'sa': 12894, 'k': 0.00357895, 'nc': 20714, 'it': 0, 'n': 4200}
{'sa': 13186, 'k': 0.00357895, 'nc': 21222, 'it': 0, 'n': 4300}
{'sa': 13528, 'k': 0.00357895, 'nc': 21680, 'it': 0, 'n': 4400}
{'sa': 13832, 'k': 0.00357895, 'nc': 22176, 'it': 0, 'n': 4500}
{'sa': 14118, 'k': 0.00357895, 'nc': 22690, 'it': 0, 'n': 4600}
{'sa': 14370, 'k': 0.00357895, 'nc': 23238, 'it': 0, 'n': 4700}
{'sa': 14636, 'k': 0.00357895, 'nc': 23772, 'it': 0, 'n': 4800}
{'sa': 14948, 'k': 0.00357895, 'nc': 24260, 'it': 0, 'n': 4900}
{'sa': 15258, 'k': 0.00357895, 'nc': 24750, 'it': 0, 'n': 5000}
{'sa': 15548, 'k': 0.00357895, 'nc': 25260, 'it': 0, 'n': 5100}
{'sa': 15880, 'k': 0.00357895, 'nc': 25728, 'it': 0, 'n': 5200}
{'sa': 16206, 'k': 0.00357895, 'nc': 26202, 'it': 0, 'n': 5300}
{'sa': 16484, 'k': 0.00357895, 'nc': 26724, 'it': 0, 'n': 5400}
{'sa': 16746, 'k': 0.00357895, 'nc': 27262, 'it': 0, 'n': 5500}
{'sa': 17004, 'k': 0.00357895, 'nc': 27804, 'it': 0, 'n': 5600}
{'sa': 17346, 'k': 0.00357895, 'nc': 28262, 'it': 0, 'n': 5700}
{'sa': 17682, 'k': 0.00357895, 'nc': 28726, 'it': 0, 'n': 5800}
{'sa': 17990, 'k': 0.00357895, 'nc': 29218, 'it': 0, 'n': 5900}
{'sa': 18262, 'k': 0.00357895, 'nc': 29746, 'it': 0, 'n': 6000}
{'sa': 18576, 'k': 0.00357895, 'nc': 30232, 'it': 0, 'n': 6100}
{'sa': 18850, 'k': 0.00357895, 'nc': 30758, 'it': 0, 'n': 6200}
{'sa': 19114, 'k': 0.00357895, 'nc': 31294, 'it': 0, 'n': 6300}
