{'sa': 454, 'k': 0.030657905, 'nc': 354, 'it': 0, 'n': 100}
{'sa': 828, 'k': 0.030657905, 'nc': 780, 'it': 0, 'n': 200}
{'sa': 1218, 'k': 0.030657905, 'nc': 1190, 'it': 0, 'n': 300}
{'sa': 1554, 'k': 0.030657905, 'nc': 1654, 'it': 0, 'n': 400}
{'sa': 1928, 'k': 0.030657905, 'nc': 2080, 'it': 0, 'n': 500}
{'sa': 2324, 'k': 0.030657905, 'nc': 2484, 'it': 0, 'n': 600}
{'sa': 2682, 'k': 0.030657905, 'nc': 2926, 'it': 0, 'n': 700}
{'sa': 3064, 'k': 0.030657905, 'nc': 3344, 'it': 0, 'n': 800}
{'sa': 3378, 'k': 0.030657905, 'nc': 3830, 'it': 0, 'n': 900}
{'sa': 3788, 'k': 0.030657905, 'nc': 4220, 'it': 0, 'n': 1000}
{'sa': 4150, 'k': 0.030657905, 'nc': 4658, 'it': 0, 'n': 1100}
{'sa': 4566, 'k': 0.030657905, 'nc': 5042, 'it': 0, 'n': 1200}
{'sa': 4936, 'k': 0.030657905, 'nc': 5472, 'it': 0, 'n': 1300}
{'sa': 5354, 'k': 0.030657905, 'nc': 5854, 'it': 0, 'n': 1400}
{'sa': 5720, 'k': 0.030657905, 'nc': 6288, 'it': 0, 'n': 1500}
{'sa': 6122, 'k': 0.030657905, 'nc': 6686, 'it': 0, 'n': 1600}
{'sa': 6504, 'k': 0.030657905, 'nc': 7104, 'it': 0, 'n': 1700}
{'sa': 6896, 'k': 0.030657905, 'nc': 7512, 'it': 0, 'n': 1800}
{'sa': 7292, 'k': 0.030657905, 'nc': 7916, 'it': 0, 'n': 1900}
{'sa': 7686, 'k': 0.030657905, 'nc': 8322, 'it': 0, 'n': 2000}
{'sa': 8082, 'k': 0.030657905, 'nc': 8726, 'it': 0, 'n': 2100}
{'sa': 8474, 'k': 0.030657905, 'nc': 9134, 'it': 0, 'n': 2200}
{'sa': 8886, 'k': 0.030657905, 'nc': 9522, 'it': 0, 'n': 2300}
{'sa': 9282, 'k': 0.030657905, 'nc': 9926, 'it': 0, 'n': 2400}
{'sa': 9670, 'k': 0.030657905, 'nc': 10338, 'it': 0, 'n': 2500}
{'sa': 10060, 'k': 0.030657905, 'nc': 10748, 'it': 0, 'n': 2600}
{'sa': 10424, 'k': 0.030657905, 'nc': 11184, 'it': 0, 'n': 2700}
{'sa': 10788, 'k': 0.030657905, 'nc': 11620, 'it': 0, 'n': 2800}
{'sa': 11146, 'k': 0.030657905, 'nc': 12062, 'it': 0, 'n': 2900}
{'sa': 11510, 'k': 0.030657905, 'nc': 12498, 'it': 0, 'n': 3000}
{'sa': 11900, 'k': 0.030657905, 'nc': 12908, 'it': 0, 'n': 3100}
{'sa': 12308, 'k': 0.030657905, 'nc': 13300, 'it': 0, 'n': 3200}
{'sa': 12640, 'k': 0.030657905, 'nc': 13768, 'it': 0, 'n': 3300}
{'sa': 13016, 'k': 0.030657905, 'nc': 14192, 'it': 0, 'n': 3400}
{'sa': 13416, 'k': 0.030657905, 'nc': 14592, 'it': 0, 'n': 3500}
{'sa': 13802, 'k': 0.030657905, 'nc': 15006, 'it': 0, 'n': 3600}
{'sa': 14188, 'k': 0.030657905, 'nc': 15420, 'it': 0, 'n': 3700}
