{'sa': 444, 'k': 0.035815805, 'nc': 364, 'it': 0, 'n': 100}
{'sa': 872, 'k': 0.035815805, 'nc': 736, 'it': 0, 'n': 200}
{'sa': 1280, 'k': 0.035815805, 'nc': 1128, 'it': 0, 'n': 300}
{'sa': 1656, 'k': 0.035815805, 'nc': 1552, 'it': 0, 'n': 400}
{'sa': 2032, 'k': 0.035815805, 'nc': 1976, 'it': 0, 'n': 500}
{'sa': 2470, 'k': 0.035815805, 'nc': 2338, 'it': 0, 'n': 600}
{'sa': 2880, 'k': 0.035815805, 'nc': 2728, 'it': 0, 'n': 700}
{'sa': 3234, 'k': 0.035815805, 'nc': 3174, 'it': 0, 'n': 800}
{'sa': 3638, 'k': 0.035815805, 'nc': 3570, 'it': 0, 'n': 900}
{'sa': 4054, 'k': 0.035815805, 'nc': 3954, 'it': 0, 'n': 1000}
{'sa': 4424, 'k': 0.035815805, 'nc': 4384, 'it': 0, 'n': 1100}
{'sa': 4814, 'k': 0.035815805, 'nc': 4794, 'it': 0, 'n': 1200}
{'sa': 5202, 'k': 0.035815805, 'nc': 5206, 'it': 0, 'n': 1300}
{'sa': 5594, 'k': 0.035815805, 'nc': 5614, 'it': 0, 'n': 1400}
{'sa': 5964, 'k': 0.035815805, 'nc': 6044, 'it': 0, 'n': 1500}
{'sa': 6384, 'k': 0.035815805, 'nc': 6424, 'it': 0, 'n': 1600}
{'sa': 6772, 'k': 0.035815805, 'nc': 6836, 'it': 0, 'n': 1700}
{'sa': 7196, 'k': 0.035815805, 'nc': 7212, 'it': 0, 'n': 1800}
{'sa': 7570, 'k': 0.035815805, 'nc': 7638, 'it': 0, 'n': 1900}
{'sa': 7954, 'k': 0.035815805, 'nc': 8054, 'it': 0, 'n': 2000}
{'sa': 8346, 'k': 0.035815805, 'nc': 8462, 'it': 0, 'n': 2100}
{'sa': 8744, 'k': 0.035815805, 'nc': 8864, 'it': 0, 'n': 2200}
{'sa': 9104, 'k': 0.035815805, 'nc': 9304, 'it': 0, 'n': 2300}
{'sa': 9522, 'k': 0.035815805, 'nc': 9686, 'it': 0, 'n': 2400}
{'sa': 9938, 'k': 0.035815805, 'nc': 10070, 'it': 0, 'n': 2500}
{'sa': 10330, 'k': 0.035815805, 'nc': 10478, 'it': 0, 'n': 2600}
{'sa': 10728, 'k': 0.035815805, 'nc': 10880, 'it': 0, 'n': 2700}
{'sa': 11164, 'k': 0.035815805, 'nc': 11244, 'it': 0, 'n': 2800}
{'sa': 11566, 'k': 0.035815805, 'nc': 11642, 'it': 0, 'n': 2900}
{'sa': 11994, 'k': 0.035815805, 'nc': 12014, 'it': 0, 'n': 3000}
{'sa': 12376, 'k': 0.035815805, 'nc': 12432, 'it': 0, 'n': 3100}
{'sa': 12728, 'k': 0.035815805, 'nc': 12880, 'it': 0, 'n': 3200}
{'sa': 13146, 'k': 0.035815805, 'nc': 13262, 'it': 0, 'n': 3300}
{'sa': 13542, 'k': 0.035815805, 'nc': 13666, 'it': 0, 'n': 3400}
{'sa': 13930, 'k': 0.035815805, 'nc': 14078, 'it': 0, 'n': 3500}
{'sa': 14316, 'k': 0.035815805, 'nc': 14492, 'it': 0, 'n': 3600}
