{'sa': 418, 'k': 0.03194738, 'nc': 390, 'it': 0, 'n': 100}
{'sa': 804, 'k': 0.03194738, 'nc': 804, 'it': 0, 'n': 200}
{'sa': 1214, 'k': 0.03194738, 'nc': 1194, 'it': 0, 'n': 300}
{'sa': 1604, 'k': 0.03194738, 'nc': 1604, 'it': 0, 'n': 400}
{'sa': 1952, 'k': 0.03194738, 'nc': 2056, 'it': 0, 'n': 500}
{'sa': 2330, 'k': 0.03194738, 'nc': 2478, 'it': 0, 'n': 600}
{'sa': 2720, 'k': 0.03194738, 'nc': 2888, 'it': 0, 'n': 700}
{'sa': 3094, 'k': 0.03194738, 'nc': 3314, 'it': 0, 'n': 800}
{'sa': 3468, 'k': 0.03194738, 'nc': 3740, 'it': 0, 'n': 900}
{'sa': 3862, 'k': 0.03194738, 'nc': 4146, 'it': 0, 'n': 1000}
{'sa': 4240, 'k': 0.03194738, 'nc': 4568, 'it': 0, 'n': 1100}
{'sa': 4580, 'k': 0.03194738, 'nc': 5028, 'it': 0, 'n': 1200}
{'sa': 4946, 'k': 0.03194738, 'nc': 5462, 'it': 0, 'n': 1300}
{'sa': 5302, 'k': 0.03194738, 'nc': 5906, 'it': 0, 'n': 1400}
{'sa': 5698, 'k': 0.03194738, 'nc': 6310, 'it': 0, 'n': 1500}
{'sa': 6112, 'k': 0.03194738, 'nc': 6696, 'it': 0, 'n': 1600}
{'sa': 6540, 'k': 0.03194738, 'nc': 7068, 'it': 0, 'n': 1700}
{'sa': 6886, 'k': 0.03194738, 'nc': 7522, 'it': 0, 'n': 1800}
{'sa': 7290, 'k': 0.03194738, 'nc': 7918, 'it': 0, 'n': 1900}
{'sa': 7660, 'k': 0.03194738, 'nc': 8348, 'it': 0, 'n': 2000}
{'sa': 8058, 'k': 0.03194738, 'nc': 8750, 'it': 0, 'n': 2100}
{'sa': 8454, 'k': 0.03194738, 'nc': 9154, 'it': 0, 'n': 2200}
{'sa': 8836, 'k': 0.03194738, 'nc': 9572, 'it': 0, 'n': 2300}
{'sa': 9240, 'k': 0.03194738, 'nc': 9968, 'it': 0, 'n': 2400}
{'sa': 9602, 'k': 0.03194738, 'nc': 10406, 'it': 0, 'n': 2500}
{'sa': 9966, 'k': 0.03194738, 'nc': 10842, 'it': 0, 'n': 2600}
{'sa': 10404, 'k': 0.03194738, 'nc': 11204, 'it': 0, 'n': 2700}
{'sa': 10784, 'k': 0.03194738, 'nc': 11624, 'it': 0, 'n': 2800}
{'sa': 11158, 'k': 0.03194738, 'nc': 12050, 'it': 0, 'n': 2900}
{'sa': 11530, 'k': 0.03194738, 'nc': 12478, 'it': 0, 'n': 3000}
{'sa': 11940, 'k': 0.03194738, 'nc': 12868, 'it': 0, 'n': 3100}
{'sa': 12354, 'k': 0.03194738, 'nc': 13254, 'it': 0, 'n': 3200}
{'sa': 12764, 'k': 0.03194738, 'nc': 13644, 'it': 0, 'n': 3300}
{'sa': 13186, 'k': 0.03194738, 'nc': 14022, 'it': 0, 'n': 3400}
{'sa': 13588, 'k': 0.03194738, 'nc': 14420, 'it': 0, 'n': 3500}
{'sa': 13982, 'k': 0.03194738, 'nc': 14826, 'it': 0, 'n': 3600}
{'sa': 14354, 'k': 0.03194738, 'nc': 15254, 'it': 0, 'n': 3700}
{'sa': 14768, 'k': 0.03194738, 'nc': 15640, 'it': 0, 'n': 3800}
{'sa': 15160, 'k': 0.03194738, 'nc': 16048, 'it': 0, 'n': 3900}
{'sa': 15524, 'k': 0.03194738, 'nc': 16484, 'it': 0, 'n': 4000}
{'sa': 15922, 'k': 0.03194738, 'nc': 16886, 'it': 0, 'n': 4100}
{'sa': 16288, 'k': 0.03194738, 'nc': 17320, 'it': 0, 'n': 4200}
{'sa': 16622, 'k': 0.03194738, 'nc': 17786, 'it': 0, 'n': 4300}
{'sa': 17042, 'k': 0.03194738, 'nc': 18166, 'it': 0, 'n': 4400}
{'sa': 17456, 'k': 0.03194738, 'nc': 18552, 'it': 0, 'n': 4500}
{'sa': 17854, 'k': 0.03194738, 'nc': 18954, 'it': 0, 'n': 4600}
{'sa': 18252, 'k': 0.03194738, 'nc': 19356, 'it': 0, 'n': 4700}
{'sa': 18622, 'k': 0.03194738, 'nc': 19786, 'it': 0, 'n': 4800}
{'sa': 19042, 'k': 0.03194738, 'nc': 20166, 'it': 0, 'n': 4900}
{'sa': 19446, 'k': 0.03194738, 'nc': 20562, 'it': 0, 'n': 5000}
{'sa': 19852, 'k': 0.03194738, 'nc': 20956, 'it': 0, 'n': 5100}
{'sa': 20248, 'k': 0.03194738, 'nc': 21360, 'it': 0, 'n': 5200}
{'sa': 20628, 'k': 0.03194738, 'nc': 21780, 'it': 0, 'n': 5300}
{'sa': 20960, 'k': 0.03194738, 'nc': 22248, 'it': 0, 'n': 5400}
{'sa': 21320, 'k': 0.03194738, 'nc': 22688, 'it': 0, 'n': 5500}
{'sa': 21730, 'k': 0.03194738, 'nc': 23078, 'it': 0, 'n': 5600}
{'sa': 22094, 'k': 0.03194738, 'nc': 23514, 'it': 0, 'n': 5700}
{'sa': 22504, 'k': 0.03194738, 'nc': 23904, 'it': 0, 'n': 5800}
{'sa': 22892, 'k': 0.03194738, 'nc': 24316, 'it': 0, 'n': 5900}
{'sa': 23320, 'k': 0.03194738, 'nc': 24688, 'it': 0, 'n': 6000}
{'sa': 23728, 'k': 0.03194738, 'nc': 25080, 'it': 0, 'n': 6100}
{'sa': 24114, 'k': 0.03194738, 'nc': 25494, 'it': 0, 'n': 6200}
{'sa': 24514, 'k': 0.03194738, 'nc': 25894, 'it': 0, 'n': 6300}
{'sa': 24934, 'k': 0.03194738, 'nc': 26274, 'it': 0, 'n': 6400}
{'sa': 25312, 'k': 0.03194738, 'nc': 26696, 'it': 0, 'n': 6500}
{'sa': 25738, 'k': 0.03194738, 'nc': 27070, 'it': 0, 'n': 6600}
{'sa': 26124, 'k': 0.03194738, 'nc': 27484, 'it': 0, 'n': 6700}
{'sa': 26512, 'k': 0.03194738, 'nc': 27896, 'it': 0, 'n': 6800}
{'sa': 26924, 'k': 0.03194738, 'nc': 28284, 'it': 0, 'n': 6900}
{'sa': 27342, 'k': 0.03194738, 'nc': 28666, 'it': 0, 'n': 7000}
{'sa': 27744, 'k': 0.03194738, 'nc': 29064, 'it': 0, 'n': 7100}
{'sa': 28116, 'k': 0.03194738, 'nc': 29492, 'it': 0, 'n': 7200}
{'sa': 28530, 'k': 0.03194738, 'nc': 29878, 'it': 0, 'n': 7300}
{'sa': 28944, 'k': 0.03194738, 'nc': 30264, 'it': 0, 'n': 7400}
{'sa': 29330, 'k': 0.03194738, 'nc': 30678, 'it': 0, 'n': 7500}
{'sa': 29728, 'k': 0.03194738, 'nc': 31080, 'it': 0, 'n': 7600}
{'sa': 30128, 'k': 0.03194738, 'nc': 31480, 'it': 0, 'n': 7700}
{'sa': 30502, 'k': 0.03194738, 'nc': 31906, 'it': 0, 'n': 7800}
{'sa': 30902, 'k': 0.03194738, 'nc': 32306, 'it': 0, 'n': 7900}
{'sa': 31276, 'k': 0.03194738, 'nc': 32732, 'it': 0, 'n': 8000}
{'sa': 31706, 'k': 0.03194738, 'nc': 33102, 'it': 0, 'n': 8100}
{'sa': 32100, 'k': 0.03194738, 'nc': 33508, 'it': 0, 'n': 8200}
{'sa': 32518, 'k': 0.03194738, 'nc': 33890, 'it': 0, 'n': 8300}
{'sa': 32884, 'k': 0.03194738, 'nc': 34324, 'it': 0, 'n': 8400}
{'sa': 33230, 'k': 0.03194738, 'nc': 34778, 'it': 0, 'n': 8500}
{'sa': 33590, 'k': 0.03194738, 'nc': 35218, 'it': 0, 'n': 8600}
{'sa': 33984, 'k': 0.03194738, 'nc': 35624, 'it': 0, 'n': 8700}
{'sa': 34372, 'k': 0.03194738, 'nc': 36036, 'it': 0, 'n': 8800}
{'sa': 34776, 'k': 0.03194738, 'nc': 36432, 'it': 0, 'n': 8900}
{'sa': 35158, 'k': 0.03194738, 'nc': 36850, 'it': 0, 'n': 9000}
{'sa': 35492, 'k': 0.03194738, 'nc': 37316, 'it': 0, 'n': 9100}
{'sa': 35860, 'k': 0.03194738, 'nc': 37748, 'it': 0, 'n': 9200}
{'sa': 36242, 'k': 0.03194738, 'nc': 38166, 'it': 0, 'n': 9300}
{'sa': 36662, 'k': 0.03194738, 'nc': 38546, 'it': 0, 'n': 9400}
{'sa': 37088, 'k': 0.03194738, 'nc': 38920, 'it': 0, 'n': 9500}
{'sa': 37456, 'k': 0.03194738, 'nc': 39352, 'it': 0, 'n': 9600}
{'sa': 37848, 'k': 0.03194738, 'nc': 39760, 'it': 0, 'n': 9700}
{'sa': 38306, 'k': 0.03194738, 'nc': 40102, 'it': 0, 'n': 9800}
{'sa': 38706, 'k': 0.03194738, 'nc': 40502, 'it': 0, 'n': 9900}
{'sa': 39122, 'k': 0.03194738, 'nc': 40886, 'it': 0, 'n': 10000}
{'sa': 39522, 'k': 0.03194738, 'nc': 41286, 'it': 0, 'n': 10100}
{'sa': 39936, 'k': 0.03194738, 'nc': 41672, 'it': 0, 'n': 10200}
{'sa': 40318, 'k': 0.03194738, 'nc': 42090, 'it': 0, 'n': 10300}
{'sa': 40748, 'k': 0.03194738, 'nc': 42460, 'it': 0, 'n': 10400}
{'sa': 41140, 'k': 0.03194738, 'nc': 42868, 'it': 0, 'n': 10500}
{'sa': 41536, 'k': 0.03194738, 'nc': 43272, 'it': 0, 'n': 10600}
{'sa': 41858, 'k': 0.03194738, 'nc': 43750, 'it': 0, 'n': 10700}
{'sa': 42260, 'k': 0.03194738, 'nc': 44148, 'it': 0, 'n': 10800}
{'sa': 42648, 'k': 0.03194738, 'nc': 44560, 'it': 0, 'n': 10900}
{'sa': 42992, 'k': 0.03194738, 'nc': 45016, 'it': 0, 'n': 11000}
{'sa': 43372, 'k': 0.03194738, 'nc': 45436, 'it': 0, 'n': 11100}
{'sa': 43784, 'k': 0.03194738, 'nc': 45824, 'it': 0, 'n': 11200}
{'sa': 44142, 'k': 0.03194738, 'nc': 46266, 'it': 0, 'n': 11300}
{'sa': 44500, 'k': 0.03194738, 'nc': 46708, 'it': 0, 'n': 11400}
{'sa': 44900, 'k': 0.03194738, 'nc': 47108, 'it': 0, 'n': 11500}
{'sa': 45322, 'k': 0.03194738, 'nc': 47486, 'it': 0, 'n': 11600}
{'sa': 45706, 'k': 0.03194738, 'nc': 47902, 'it': 0, 'n': 11700}
