{'sa': 398, 'k': 0.02163158, 'nc': 410, 'it': 0, 'n': 100}
{'sa': 818, 'k': 0.02163158, 'nc': 790, 'it': 0, 'n': 200}
{'sa': 1202, 'k': 0.02163158, 'nc': 1206, 'it': 0, 'n': 300}
{'sa': 1540, 'k': 0.02163158, 'nc': 1668, 'it': 0, 'n': 400}
{'sa': 1902, 'k': 0.02163158, 'nc': 2106, 'it': 0, 'n': 500}
{'sa': 2264, 'k': 0.02163158, 'nc': 2544, 'it': 0, 'n': 600}
{'sa': 2624, 'k': 0.02163158, 'nc': 2984, 'it': 0, 'n': 700}
{'sa': 2962, 'k': 0.02163158, 'nc': 3446, 'it': 0, 'n': 800}
{'sa': 3330, 'k': 0.02163158, 'nc': 3878, 'it': 0, 'n': 900}
{'sa': 3706, 'k': 0.02163158, 'nc': 4302, 'it': 0, 'n': 1000}
{'sa': 4042, 'k': 0.02163158, 'nc': 4766, 'it': 0, 'n': 1100}
{'sa': 4388, 'k': 0.02163158, 'nc': 5220, 'it': 0, 'n': 1200}
{'sa': 4788, 'k': 0.02163158, 'nc': 5620, 'it': 0, 'n': 1300}
{'sa': 5156, 'k': 0.02163158, 'nc': 6052, 'it': 0, 'n': 1400}
{'sa': 5550, 'k': 0.02163158, 'nc': 6458, 'it': 0, 'n': 1500}
{'sa': 5930, 'k': 0.02163158, 'nc': 6878, 'it': 0, 'n': 1600}
{'sa': 6288, 'k': 0.02163158, 'nc': 7320, 'it': 0, 'n': 1700}
{'sa': 6658, 'k': 0.02163158, 'nc': 7750, 'it': 0, 'n': 1800}
{'sa': 7052, 'k': 0.02163158, 'nc': 8156, 'it': 0, 'n': 1900}
{'sa': 7398, 'k': 0.02163158, 'nc': 8610, 'it': 0, 'n': 2000}
{'sa': 7756, 'k': 0.02163158, 'nc': 9052, 'it': 0, 'n': 2100}
{'sa': 8170, 'k': 0.02163158, 'nc': 9438, 'it': 0, 'n': 2200}
{'sa': 8556, 'k': 0.02163158, 'nc': 9852, 'it': 0, 'n': 2300}
{'sa': 8950, 'k': 0.02163158, 'nc': 10258, 'it': 0, 'n': 2400}
{'sa': 9302, 'k': 0.02163158, 'nc': 10706, 'it': 0, 'n': 2500}
{'sa': 9646, 'k': 0.02163158, 'nc': 11162, 'it': 0, 'n': 2600}
{'sa': 10008, 'k': 0.02163158, 'nc': 11600, 'it': 0, 'n': 2700}
{'sa': 10374, 'k': 0.02163158, 'nc': 12034, 'it': 0, 'n': 2800}
{'sa': 10758, 'k': 0.02163158, 'nc': 12450, 'it': 0, 'n': 2900}
{'sa': 11152, 'k': 0.02163158, 'nc': 12856, 'it': 0, 'n': 3000}
{'sa': 11548, 'k': 0.02163158, 'nc': 13260, 'it': 0, 'n': 3100}
{'sa': 11892, 'k': 0.02163158, 'nc': 13716, 'it': 0, 'n': 3200}
{'sa': 12276, 'k': 0.02163158, 'nc': 14132, 'it': 0, 'n': 3300}
{'sa': 12644, 'k': 0.02163158, 'nc': 14564, 'it': 0, 'n': 3400}
{'sa': 12978, 'k': 0.02163158, 'nc': 15030, 'it': 0, 'n': 3500}
{'sa': 13362, 'k': 0.02163158, 'nc': 15446, 'it': 0, 'n': 3600}
{'sa': 13732, 'k': 0.02163158, 'nc': 15876, 'it': 0, 'n': 3700}
{'sa': 14122, 'k': 0.02163158, 'nc': 16286, 'it': 0, 'n': 3800}
{'sa': 14486, 'k': 0.02163158, 'nc': 16722, 'it': 0, 'n': 3900}
{'sa': 14860, 'k': 0.02163158, 'nc': 17148, 'it': 0, 'n': 4000}
{'sa': 15254, 'k': 0.02163158, 'nc': 17554, 'it': 0, 'n': 4100}
{'sa': 15616, 'k': 0.02163158, 'nc': 17992, 'it': 0, 'n': 4200}
{'sa': 16036, 'k': 0.02163158, 'nc': 18372, 'it': 0, 'n': 4300}
{'sa': 16418, 'k': 0.02163158, 'nc': 18790, 'it': 0, 'n': 4400}
{'sa': 16806, 'k': 0.02163158, 'nc': 19202, 'it': 0, 'n': 4500}
{'sa': 17184, 'k': 0.02163158, 'nc': 19624, 'it': 0, 'n': 4600}
{'sa': 17552, 'k': 0.02163158, 'nc': 20056, 'it': 0, 'n': 4700}
{'sa': 17932, 'k': 0.02163158, 'nc': 20476, 'it': 0, 'n': 4800}
{'sa': 18326, 'k': 0.02163158, 'nc': 20882, 'it': 0, 'n': 4900}
{'sa': 18652, 'k': 0.02163158, 'nc': 21356, 'it': 0, 'n': 5000}
{'sa': 19018, 'k': 0.02163158, 'nc': 21790, 'it': 0, 'n': 5100}
{'sa': 19422, 'k': 0.02163158, 'nc': 22186, 'it': 0, 'n': 5200}
{'sa': 19756, 'k': 0.02163158, 'nc': 22652, 'it': 0, 'n': 5300}
{'sa': 20112, 'k': 0.02163158, 'nc': 23096, 'it': 0, 'n': 5400}
{'sa': 20476, 'k': 0.02163158, 'nc': 23532, 'it': 0, 'n': 5500}
{'sa': 20824, 'k': 0.02163158, 'nc': 23984, 'it': 0, 'n': 5600}
{'sa': 21230, 'k': 0.02163158, 'nc': 24378, 'it': 0, 'n': 5700}
{'sa': 21604, 'k': 0.02163158, 'nc': 24804, 'it': 0, 'n': 5800}
{'sa': 22008, 'k': 0.02163158, 'nc': 25200, 'it': 0, 'n': 5900}
{'sa': 22346, 'k': 0.02163158, 'nc': 25662, 'it': 0, 'n': 6000}
{'sa': 22694, 'k': 0.02163158, 'nc': 26114, 'it': 0, 'n': 6100}
{'sa': 23130, 'k': 0.02163158, 'nc': 26478, 'it': 0, 'n': 6200}
{'sa': 23516, 'k': 0.02163158, 'nc': 26892, 'it': 0, 'n': 6300}
{'sa': 23880, 'k': 0.02163158, 'nc': 27328, 'it': 0, 'n': 6400}
{'sa': 24238, 'k': 0.02163158, 'nc': 27770, 'it': 0, 'n': 6500}
{'sa': 24632, 'k': 0.02163158, 'nc': 28176, 'it': 0, 'n': 6600}
{'sa': 24986, 'k': 0.02163158, 'nc': 28622, 'it': 0, 'n': 6700}
