{'sa': 470, 'k': 0.04484213, 'nc': 338, 'it': 0, 'n': 100}
{'sa': 888, 'k': 0.04484213, 'nc': 720, 'it': 0, 'n': 200}
{'sa': 1254, 'k': 0.04484213, 'nc': 1154, 'it': 0, 'n': 300}
{'sa': 1674, 'k': 0.04484213, 'nc': 1534, 'it': 0, 'n': 400}
{'sa': 2094, 'k': 0.04484213, 'nc': 1914, 'it': 0, 'n': 500}
{'sa': 2506, 'k': 0.04484213, 'nc': 2302, 'it': 0, 'n': 600}
{'sa': 2902, 'k': 0.04484213, 'nc': 2706, 'it': 0, 'n': 700}
{'sa': 3286, 'k': 0.04484213, 'nc': 3122, 'it': 0, 'n': 800}
{'sa': 3656, 'k': 0.04484213, 'nc': 3552, 'it': 0, 'n': 900}
{'sa': 4022, 'k': 0.04484213, 'nc': 3986, 'it': 0, 'n': 1000}
{'sa': 4414, 'k': 0.04484213, 'nc': 4394, 'it': 0, 'n': 1100}
{'sa': 4808, 'k': 0.04484213, 'nc': 4800, 'it': 0, 'n': 1200}
{'sa': 5226, 'k': 0.04484213, 'nc': 5182, 'it': 0, 'n': 1300}
{'sa': 5656, 'k': 0.04484213, 'nc': 5552, 'it': 0, 'n': 1400}
{'sa': 6084, 'k': 0.04484213, 'nc': 5924, 'it': 0, 'n': 1500}
{'sa': 6470, 'k': 0.04484213, 'nc': 6338, 'it': 0, 'n': 1600}
{'sa': 6850, 'k': 0.04484213, 'nc': 6758, 'it': 0, 'n': 1700}
{'sa': 7254, 'k': 0.04484213, 'nc': 7154, 'it': 0, 'n': 1800}
{'sa': 7736, 'k': 0.04484213, 'nc': 7472, 'it': 0, 'n': 1900}
{'sa': 8112, 'k': 0.04484213, 'nc': 7896, 'it': 0, 'n': 2000}
{'sa': 8518, 'k': 0.04484213, 'nc': 8290, 'it': 0, 'n': 2100}
{'sa': 8944, 'k': 0.04484213, 'nc': 8664, 'it': 0, 'n': 2200}
{'sa': 9354, 'k': 0.04484213, 'nc': 9054, 'it': 0, 'n': 2300}
{'sa': 9784, 'k': 0.04484213, 'nc': 9424, 'it': 0, 'n': 2400}
{'sa': 10144, 'k': 0.04484213, 'nc': 9864, 'it': 0, 'n': 2500}
{'sa': 10548, 'k': 0.04484213, 'nc': 10260, 'it': 0, 'n': 2600}
{'sa': 10958, 'k': 0.04484213, 'nc': 10650, 'it': 0, 'n': 2700}
{'sa': 11298, 'k': 0.04484213, 'nc': 11110, 'it': 0, 'n': 2800}
{'sa': 11702, 'k': 0.04484213, 'nc': 11506, 'it': 0, 'n': 2900}
{'sa': 12088, 'k': 0.04484213, 'nc': 11920, 'it': 0, 'n': 3000}
{'sa': 12510, 'k': 0.04484213, 'nc': 12298, 'it': 0, 'n': 3100}
{'sa': 12944, 'k': 0.04484213, 'nc': 12664, 'it': 0, 'n': 3200}
{'sa': 13342, 'k': 0.04484213, 'nc': 13066, 'it': 0, 'n': 3300}
{'sa': 13746, 'k': 0.04484213, 'nc': 13462, 'it': 0, 'n': 3400}
{'sa': 14152, 'k': 0.04484213, 'nc': 13856, 'it': 0, 'n': 3500}
{'sa': 14576, 'k': 0.04484213, 'nc': 14232, 'it': 0, 'n': 3600}
{'sa': 14974, 'k': 0.04484213, 'nc': 14634, 'it': 0, 'n': 3700}
{'sa': 15408, 'k': 0.04484213, 'nc': 15000, 'it': 0, 'n': 3800}
{'sa': 15830, 'k': 0.04484213, 'nc': 15378, 'it': 0, 'n': 3900}
{'sa': 16270, 'k': 0.04484213, 'nc': 15738, 'it': 0, 'n': 4000}
{'sa': 16656, 'k': 0.04484213, 'nc': 16152, 'it': 0, 'n': 4100}
{'sa': 17012, 'k': 0.04484213, 'nc': 16596, 'it': 0, 'n': 4200}
{'sa': 17382, 'k': 0.04484213, 'nc': 17026, 'it': 0, 'n': 4300}
{'sa': 17790, 'k': 0.04484213, 'nc': 17418, 'it': 0, 'n': 4400}
{'sa': 18232, 'k': 0.04484213, 'nc': 17776, 'it': 0, 'n': 4500}
{'sa': 18596, 'k': 0.04484213, 'nc': 18212, 'it': 0, 'n': 4600}
{'sa': 19018, 'k': 0.04484213, 'nc': 18590, 'it': 0, 'n': 4700}
{'sa': 19436, 'k': 0.04484213, 'nc': 18972, 'it': 0, 'n': 4800}
{'sa': 19864, 'k': 0.04484213, 'nc': 19344, 'it': 0, 'n': 4900}
{'sa': 20260, 'k': 0.04484213, 'nc': 19748, 'it': 0, 'n': 5000}
{'sa': 20640, 'k': 0.04484213, 'nc': 20168, 'it': 0, 'n': 5100}
{'sa': 21054, 'k': 0.04484213, 'nc': 20554, 'it': 0, 'n': 5200}
{'sa': 21510, 'k': 0.04484213, 'nc': 20898, 'it': 0, 'n': 5300}
{'sa': 21922, 'k': 0.04484213, 'nc': 21286, 'it': 0, 'n': 5400}
{'sa': 22366, 'k': 0.04484213, 'nc': 21642, 'it': 0, 'n': 5500}
{'sa': 22800, 'k': 0.04484213, 'nc': 22008, 'it': 0, 'n': 5600}
{'sa': 23230, 'k': 0.04484213, 'nc': 22378, 'it': 0, 'n': 5700}
{'sa': 23658, 'k': 0.04484213, 'nc': 22750, 'it': 0, 'n': 5800}
{'sa': 24068, 'k': 0.04484213, 'nc': 23140, 'it': 0, 'n': 5900}
{'sa': 24458, 'k': 0.04484213, 'nc': 23550, 'it': 0, 'n': 6000}
{'sa': 24846, 'k': 0.04484213, 'nc': 23962, 'it': 0, 'n': 6100}
{'sa': 25268, 'k': 0.04484213, 'nc': 24340, 'it': 0, 'n': 6200}
{'sa': 25686, 'k': 0.04484213, 'nc': 24722, 'it': 0, 'n': 6300}
{'sa': 26112, 'k': 0.04484213, 'nc': 25096, 'it': 0, 'n': 6400}
{'sa': 26544, 'k': 0.04484213, 'nc': 25464, 'it': 0, 'n': 6500}
{'sa': 26968, 'k': 0.04484213, 'nc': 25840, 'it': 0, 'n': 6600}
{'sa': 27356, 'k': 0.04484213, 'nc': 26252, 'it': 0, 'n': 6700}
{'sa': 27782, 'k': 0.04484213, 'nc': 26626, 'it': 0, 'n': 6800}
{'sa': 28220, 'k': 0.04484213, 'nc': 26988, 'it': 0, 'n': 6900}
{'sa': 28628, 'k': 0.04484213, 'nc': 27380, 'it': 0, 'n': 7000}
{'sa': 29098, 'k': 0.04484213, 'nc': 27710, 'it': 0, 'n': 7100}
{'sa': 29510, 'k': 0.04484213, 'nc': 28098, 'it': 0, 'n': 7200}
{'sa': 29952, 'k': 0.04484213, 'nc': 28456, 'it': 0, 'n': 7300}
{'sa': 30386, 'k': 0.04484213, 'nc': 28822, 'it': 0, 'n': 7400}
{'sa': 30832, 'k': 0.04484213, 'nc': 29176, 'it': 0, 'n': 7500}
{'sa': 31254, 'k': 0.04484213, 'nc': 29554, 'it': 0, 'n': 7600}
{'sa': 31712, 'k': 0.04484213, 'nc': 29896, 'it': 0, 'n': 7700}
{'sa': 32136, 'k': 0.04484213, 'nc': 30272, 'it': 0, 'n': 7800}
{'sa': 32554, 'k': 0.04484213, 'nc': 30654, 'it': 0, 'n': 7900}
{'sa': 33008, 'k': 0.04484213, 'nc': 31000, 'it': 0, 'n': 8000}
{'sa': 33422, 'k': 0.04484213, 'nc': 31386, 'it': 0, 'n': 8100}
{'sa': 33848, 'k': 0.04484213, 'nc': 31760, 'it': 0, 'n': 8200}
{'sa': 34284, 'k': 0.04484213, 'nc': 32124, 'it': 0, 'n': 8300}
{'sa': 34672, 'k': 0.04484213, 'nc': 32536, 'it': 0, 'n': 8400}
{'sa': 35070, 'k': 0.04484213, 'nc': 32938, 'it': 0, 'n': 8500}
{'sa': 35504, 'k': 0.04484213, 'nc': 33304, 'it': 0, 'n': 8600}
{'sa': 35866, 'k': 0.04484213, 'nc': 33742, 'it': 0, 'n': 8700}
{'sa': 36294, 'k': 0.04484213, 'nc': 34114, 'it': 0, 'n': 8800}
{'sa': 36692, 'k': 0.04484213, 'nc': 34516, 'it': 0, 'n': 8900}
{'sa': 37062, 'k': 0.04484213, 'nc': 34946, 'it': 0, 'n': 9000}
{'sa': 37412, 'k': 0.04484213, 'nc': 35396, 'it': 0, 'n': 9100}
{'sa': 37820, 'k': 0.04484213, 'nc': 35788, 'it': 0, 'n': 9200}
{'sa': 38192, 'k': 0.04484213, 'nc': 36216, 'it': 0, 'n': 9300}
{'sa': 38592, 'k': 0.04484213, 'nc': 36616, 'it': 0, 'n': 9400}
{'sa': 38970, 'k': 0.04484213, 'nc': 37038, 'it': 0, 'n': 9500}
{'sa': 39408, 'k': 0.04484213, 'nc': 37400, 'it': 0, 'n': 9600}
{'sa': 39800, 'k': 0.04484213, 'nc': 37808, 'it': 0, 'n': 9700}
{'sa': 40200, 'k': 0.04484213, 'nc': 38208, 'it': 0, 'n': 9800}
{'sa': 40578, 'k': 0.04484213, 'nc': 38630, 'it': 0, 'n': 9900}
{'sa': 40966, 'k': 0.04484213, 'nc': 39042, 'it': 0, 'n': 10000}
{'sa': 41358, 'k': 0.04484213, 'nc': 39450, 'it': 0, 'n': 10100}
{'sa': 41756, 'k': 0.04484213, 'nc': 39852, 'it': 0, 'n': 10200}
{'sa': 42178, 'k': 0.04484213, 'nc': 40230, 'it': 0, 'n': 10300}
{'sa': 42578, 'k': 0.04484213, 'nc': 40630, 'it': 0, 'n': 10400}
{'sa': 43024, 'k': 0.04484213, 'nc': 40984, 'it': 0, 'n': 10500}
